DateTime,AddedIPs,RemovedIPs
1601255314,3,1
1601257210,3,0
1601259130,1,2
1601261075,1,1
1601262970,2,1
1601264887,1,0
1601266829,0,2
1601270687,3,0
1601272606,1,1
1601274513,2,1
1601276496,1,1
1601278393,2,5
1601280274,1,0
1601282184,0,1
1601284384,3,1
1601286300,1,1
1601288188,0,1
1601290144,3,0
1601292008,0,2
1601294170,1,3
1601296086,2,0
1601299931,1,2
1601301866,3,4
1601303795,1,1
1601305712,0,1
1601307663,4,2
1601309547,3,1
1601311476,1,3
1601313384,2,1
1601315309,0,2
1601317288,0,1
1601319180,1,0
1601321071,1,2
1601323071,1,1
1601324905,1,0
1601328784,0,2
1601330702,3,1
1601332649,2,0
1601334524,1,3
1601336656,1,0
1601338573,1,3
1601340521,1,0
1601342411,2,2
1601344330,0,2
1601346340,2,1
1601348178,0,2
1601352300,2,1
1601356365,0,2
1601358269,1,1
1601360172,1,6
1601362119,2,0
1601364020,0,2
1601365947,3,1
1601367880,0,1
1601369775,3,3
1601371695,1,1
1601374853,1,0
1601376749,2,3
1601378683,1,0
1601380573,0,1
1601382495,0,2
1601384509,4,0
1601386363,2,1
1601388498,4,3
1601390409,2,1
1601392359,1,0
1601394250,0,4
1601396171,0,3
1601398113,0,2
1601400012,2,1
1601401930,3,0
1601403969,2,0
1601407954,1,2
1601409852,1,1
1601411770,0,1
1601413754,1,0
1601415631,4,0
1601417567,1,4
1601419457,0,2
1601421413,1,0
1601423290,0,1
1601425211,2,2
1601429077,0,2
1601431000,1,1
1601432901,0,1
1601436727,1,0
1601438899,3,2
1601440830,1,0
1601444886,1,2
1601446809,1,0
1601448727,3,1
1601450683,4,2
1601452566,1,1
1601454487,2,0
1601456456,1,3
1601458334,2,1
1601460282,1,0
1601462174,1,1
1601464114,2,1
1601466010,1,1
1601469879,1,1
1601471770,0,4
1601473689,0,4
1601475633,1,1
1601477531,1,3
1601479453,1,0
1601481396,3,0
1601483287,1,0
1601485368,0,1
1601487182,3,3
1601489373,0,2
1601491209,1,2
1601493141,3,0
1601495075,1,2
1601496970,1,0
1601498890,1,0
1601500809,1,3
1601502726,1,3
1601504678,0,1
1601506567,1,0
1601508492,0,1
1601511411,1,1
1601513320,2,1
1601515224,3,0
1601517126,0,1
1601523138,1,1
1601525096,0,2
