DateTime,AddedIPs,RemovedIPs
1601443959,5,7
1601445933,2,6
1601447863,16,5
1601449696,9,4
1601451611,7,8
1601453568,21,8
1601455450,17,15
1601457403,11,13
1601459291,11,10
1601461248,8,9
1601463131,13,8
1601465053,17,13
1601467002,15,8
1601468890,5,28
1601471769,18,21
1601473688,6,18
1601475632,8,9
1601477530,14,10
1601479452,11,11
1601481395,16,9
1601483287,15,5
1601485293,10,13
1601487145,16,12
1601489351,11,26
1601491208,8,15
1601493132,13,7
1601495074,12,7
1601496969,18,9
1601498889,20,8
1601500808,14,10
1601502725,10,8
1601504677,12,8
1601506565,9,9
1601508491,9,5
1601510450,8,7
1601512328,9,7
1601514519,12,5
1601516411,66,6
1601518369,12,5
1601520257,9,3
1601522197,14,6
1601524649,84,7
1601526505,13,116
1601528468,41,2
1601530345,13,5
1601532341,8,2
1601534253,7,14
1601536408,8,12
1601538270,7,8
1601540245,11,27
1601542164,7,8
1601544041,8,11
1601545972,14,10
1601547871,8,8
1601549797,12,17
1601551751,9,14
1601553659,8,14
1601555556,4,7
1601557724,9,11
1601559630,13,8
1601561531,16,9
1601563472,9,12
1601565369,14,11
1601567290,5,12
1601569244,10,15
1601571125,8,11
1601573065,19,16
1601575015,15,10
1601576911,6,6
1601579775,10,18
1601581718,10,13
1601583606,10,10
1601585535,6,12
1601587479,5,17
1601589365,6,8
1601591344,6,13
1601594189,8,8
1601596090,6,11
1601598028,6,10
1601599940,8,10
1601601854,6,63
1601603792,3,21
1601605692,5,9
1601607640,1,8
1601609555,2,13
1601611733,5,84
1601613612,5,13
1601615552,3,7
1601617446,4,11
1601619370,4,5
1601621337,10,8
1601623216,5,9
1601625127,6,55
1601627095,7,12
1601628975,7,6
1601631136,6,11
1601633090,61,13
1601634975,13,7
1601636923,10,12
1601638810,12,11
1601640733,20,6
1601642653,10,4
1601644572,9,8
1601646527,16,13
1601648421,5,16
1601650356,11,8
1601652283,7,14
1601654184,15,3
1601656111,14,13
1601658046,8,10
1601659975,6,17
1601661867,10,14
1601663768,7,4
1601665719,9,11
1601667614,8,8
1601669534,9,11
1601671473,8,7
1601673406,8,6
1601675288,9,4
1601677232,7,6
1601679128,6,6
1601681075,58,6
1601682967,5,5
1601684915,6,6
1601687793,8,9
1601689690,9,4
1601691629,5,6
1601694868,13,4
1601696952,13,4
1601698819,6,4
1601700742,2,4
1601702707,5,3
1601704593,12,3
1601706504,5,5
1601708479,8,8
1601710344,5,6
1601712274,13,7
1601714210,9,8
1601716101,7,7
1601718043,9,8
1601719975,10,62
1601721865,11,13
1601723797,10,8
1601725732,17,16
1601727661,10,9
1601729546,10,10
1601731493,13,16
1601733384,2,8
1601735302,4,5
1601737277,12,21
1601739150,6,7
1601741061,13,13
1601743008,10,14
1601744915,104,10
1601746827,176,7
1601748778,11,12
