DateTime,AddedIPs,RemovedIPs
1601440119,5,10
1601442103,6,8
1601443961,9,5
1601445949,7,13
1601447871,5,22
1601449697,4,17
1601451613,4,21
1601453570,4,12
1601455451,7,8
1601457404,6,10
1601459294,3,12
1601461250,6,10
1601463133,7,9
1601465054,15,11
1601467006,3,6
1601468894,4,13
1601471771,12,14
1601473690,9,11
1601475636,3,10
1601477534,4,10
1601479455,5,9
1601481399,5,3
1601483290,5,10
1601485417,15,9
1601487395,18,11
1601489375,22,9
1601491211,14,14
1601493143,21,19
1601495076,17,13
1601496972,13,12
1601498892,12,13
1601500811,15,4
1601502728,16,5
1601504679,10,11
1601506570,12,13
1601508493,10,11
1601511418,17,21
1601513321,15,14
1601515248,8,16
1601517127,10,5
1601519073,10,8
1601521018,11,10
1601523139,8,6
1601525122,10,7
1601526997,5,6
1601528908,5,8
1601530861,5,9
1601533249,8,8
1601535400,5,9
1601537606,12,45
1601539502,47,64
1601541636,49,5
1601543553,11,4
1601545451,8,7
1601547397,4,8
1601550497,8,15
1601552431,8,6
1601554328,10,9
1601556274,7,10
1601558186,6,6
1601560094,14,6
1601562039,12,6
1601563936,7,4
1601565882,7,3
1601567832,6,7
1601569691,6,5
1601571843,7,15
1601573768,9,8
1601575595,6,16
1601577402,4,12
1601579300,7,19
1601581229,7,21
1601583156,5,14
1601585053,5,14
1601587219,10,20
1601589168,8,16
1601591056,7,11
1601592985,6,11
1601594915,8,8
1601596894,1,10
1601598756,7,13
1601600930,5,12
1601602847,9,11
1601604777,11,7
1601606679,10,9
1601608578,9,7
1601610497,10,9
1601612678,9,9
1601614571,8,6
1601616491,3,1
1601618548,5,6
1601620592,10,8
1601622766,8,11
1601624656,23,9
1601626571,5,8
1601628514,9,3
1601630461,6,13
1601632441,7,6
1601634251,8,8
1601636208,4,5
1601638098,4,11
1601640976,16,10
1601642913,8,9
1601644812,3,7
1601646736,2,13
1601648677,11,9
1601650581,5,9
1601652765,10,8
1601654699,7,5
1601656610,14,11
1601658548,6,4
1601660458,10,9
1601662370,9,13
1601664319,4,5
1601666199,8,6
1601668109,7,11
1601670087,9,8
1601671960,7,10
1601673878,8,6
1601675842,2,7
1601677710,6,7
1601679763,10,6
1601681794,6,8
1601683932,5,7
1601685848,8,9
1601687796,6,6
1601689693,6,12
1601691632,5,10
1601694870,12,16
1601696955,15,8
1601698824,15,10
1601700745,11,8
1601702710,9,8
1601704597,12,4
1601706507,10,8
1601708525,9,9
1601710346,13,8
1601712278,11,8
1601714214,13,9
1601716104,10,6
1601718045,11,11
1601719978,9,9
1601721867,10,4
1601723799,4,6
1601725735,10,9
1601727665,5,11
1601729548,8,4
1601731496,10,3
1601733386,6,3
1601735305,1,9
1601737291,4,6
1601739151,5,10
1601741062,5,6
1601743009,11,10
1601744915,14,3
1601746828,10,12
1601748779,5,11
1601750682,13,5
1601752568,7,9
1601754515,9,6
1601756410,8,9
1601758327,7,6
1601760309,8,7
1601762174,9,7
1601764087,3,5
1601766974,14,12
1601768936,5,6
1601770852,8,3
1601772747,9,9
1601774741,4,6
1601776617,6,6
1601778520,6,8
1601780458,5,6
1601782353,6,13
1601784272,9,11
1601786227,7,16
1601788115,8,10
1601790033,8,10
1601791978,9,12
1601793880,9,7
1601795810,10,8
1601797735,7,11
1601799623,16,6
1601801557,19,7
1601803518,10,11
1601805403,19,7
1601807288,7,8
1601809256,13,9
1601811135,9,6
1601813051,11,7
1601815001,18,8
1601816907,12,9
1601818882,9,6
1601820776,8,4
1601822661,5,2
1601824593,4,6
1601826532,11,8
1601828440,10,7
1601830329,12,9
1601832282,4,11
1601834172,7,11
1601836093,10,3
1601838079,7,9
1601839937,11,8
1601841851,5,9
1601843823,9,8
1601845711,4,7
1601847659,9,4
1601849578,7,5
1601851469,7,6
1601853382,14,12
1601855349,14,5
1601857255,5,8
1601859146,8,9
1601861101,6,5
1601863000,10,3
1601864910,6,5
1601866913,8,5
1601868759,3,9
1601870926,10,6
1601872839,10,10
1601874791,11,7
1601876651,11,6
1601878576,6,8
1601880532,9,7
1601882446,6,241
1601884357,243,4
1601886295,4,11
1601888224,7,15
1601890116,9,9
1601892091,7,21
1601893962,5,11
1601896099,7,13
1601898011,6,12
1601899963,4,10
1601901853,4,10
1601903773,7,10
1601905720,10,12
1601907617,2,11
1601909534,3,8
1601911479,5,9
1601913371,5,6
1601915533,1,9
1601917459,3,10
1601919406,4,7
1601921297,1,12
1601923215,4,10
1601925162,3,7
1601927052,1,9
1601928972,2,8
1601930917,5,8
1601932812,2,5
1601934730,4,9
1601936683,6,7
1601938571,14,9
1601940737,15,15
1601942653,11,12
1601944603,5,5
1601946495,10,7
1601948415,6,3
1601950360,8,8
1601952255,4,7
1601954172,11,9
1601956305,6,9
1601958277,7,10
1601960170,14,9
1601962088,6,10
1601964097,5,8
1601965942,8,6
1601967858,3,8
1601969797,9,241
1601971697,245,8
1601973611,11,1
1601975562,4,8
1601977453,6,9
1601979374,3,4
1601981319,8,5
1601983212,6,8
1601985134,3,6
1601987078,12,7
1601988971,0,3
1601990893,10,8
1601992850,4,10
1601994737,4,7
1601996655,2,7
1601998600,4,8
1602000495,1,3
1602002418,0,6
1602004358,4,5
1602006251,11,4
1602008171,7,2
1602010117,10,2
1602012012,13,3
1602013933,10,2
1602015879,3,4
1602017771,10,5
1602019723,5,5
1602021632,5,5
1602023534,10,9
1602025479,5,12
1602027377,12,10
1602029297,6,8
1602031237,3,6
1602033377,12,6
1602035290,9,4
1602037238,4,6
1602039136,10,3
1602041053,12,9
1602042999,10,4
1602044895,9,11
1602046864,10,9
1602048768,7,6
1602050655,5,7
1602052578,9,11
1602054529,16,5
1602056414,18,11
1602058335,13,10
1602060278,13,8
1602062173,22,4
1602064335,18,6
1602066252,12,4
1602068202,14,6
1602070091,11,2
1602072048,15,0
1602073933,4,9
1602075856,6,1
1602077796,5,8
1602079697,6,5
1602081612,6,2
1602083568,6,2
1602085450,5,5
1602087397,5,3
1602089290,12,1
1602091213,5,2
1602093158,7,12
1602095052,7,7
1602096971,7,13
1602098918,8,11
1602100862,9,9
1602102737,5,5
1602104681,6,9
1602106575,6,7
1602108522,5,8
1602110413,9,10
1602112333,4,4
1602114287,3,8
1602116172,7,3
1602118093,3,7
1602120041,5,13
1602121937,7,10
1602123885,7,4
1602125780,9,11
1602127696,6,12
1602129682,1,13
1602131536,17,10
1602133461,4,10
1602135405,9,6
1602137301,8,8
1602139216,4,10
1602141166,5,19
1602143070,6,17
1602144973,5,20
1602146919,9,8
1602148816,8,19
1602150736,7,13
1602152683,6,10
1602154576,3,16
1602156742,6,14
1602158656,17,10
1602160605,3,11
1602162500,5,4
1602164421,4,3
1602166366,9,4
1602168260,10,4
1602170174,10,6
1602172121,287,5
1602174015,9,5
1602175935,9,12
1602177883,7,5
1602179779,9,4
1602181720,12,5
1602183652,13,5
1602185534,9,5
1602187486,8,8
1602189374,11,6
1602191296,9,6
1602193240,9,3
1602195142,4,5
1602197058,12,9
1602198979,13,4
1602200891,9,4
1602202841,8,7
