DateTime,AddedIPs,RemovedIPs
1601171796,0,1
1601175709,1,0
1601177531,2,0
1601179500,2,1
1601181619,0,1
1601183536,0,1
1601185481,0,1
1601187369,2,0
1601189294,1,0
1601191254,0,1
1601196970,1,0
1601199138,1,1
1601203014,1,0
1601208757,0,1
1601212580,1,0
1601214519,0,1
1601216412,1,0
1601218355,2,0
1601220254,0,2
1601222191,2,1
1601224115,2,1
1601227001,0,1
1601228907,0,2
1601232757,0,1
1601234677,0,1
1601236574,1,0
1601245473,0,1
1601247368,1,0
1601253482,0,3
1601259131,1,0
1601261076,1,0
1601262971,0,2
1601264888,0,2
1601266830,0,1
1601272610,0,1
1601274515,0,1
1601277637,0,1
1601279553,1,0
1601283399,0,1
1601285295,0,1
1601289395,0,1
1601291338,1,0
1601293242,1,0
1601297071,1,0
1601298986,0,1
1601302835,0,1
1601304760,0,2
1601308618,0,2
1601310528,1,2
1601322014,0,1
1601323968,2,0
1601331609,1,0
1601333551,1,1
1601341432,1,0
1601343445,1,0
1601345677,0,1
1601347776,1,1
1601349609,1,0
1601366171,0,1
1601372891,1,0
1601374857,1,0
1601376753,1,0
1601378687,0,2
1601384642,1,1
1601388502,2,0
1601390412,2,0
1601396175,1,1
1601401934,1,0
1601406255,1,0
1601408191,1,0
1601410121,0,2
1601415902,2,0
1601418025,0,1
1601419931,0,1
1601427752,0,1
1601429796,0,1
1601431710,1,0
1601433613,1,1
1601435600,0,1
1601437455,1,0
1601443231,2,0
1601445132,1,0
1601448983,1,0
1601453773,2,0
1601455712,3,0
1601459804,1,1
1601461710,1,1
1601464571,0,1
1601466488,2,0
1601470334,0,1
1601474195,1,2
1601476090,0,1
1601479006,0,1
1601480903,1,0
1601482865,1,1
1601484750,3,0
1601488591,0,1
1601490526,1,0
1601492524,0,1
1601494391,0,1
1601496291,1,0
1601500103,1,0
1601502037,0,1
1601503965,1,1
1601507775,1,0
1601513777,2,0
1601517850,2,1
1601519796,1,1
1601523913,0,1
1601527980,1,1
1601529910,1,1
1601532452,0,1
1601534387,0,1
1601538426,1,1
1601540272,1,1
1601542196,1,3
1601545974,0,1
1601547874,1,1
1601551754,2,0
1601553716,1,2
1601557729,1,0
1601559656,0,1
1601563474,1,0
1601567292,0,1
1601569249,1,1
1601571127,0,3
1601576914,0,1
1601582923,0,1
1601584827,1,0
1601586797,0,1
1601590614,0,1
1601592514,2,0
1601594455,1,1
1601596364,1,0
1601600263,0,2
1601604139,0,2
1601605966,0,1
1601612201,1,0
1601614131,0,1
1601616035,0,1
1601617949,1,0
1601623943,1,1
1601625920,1,1
1601627825,0,1
1601631644,1,0
1601633548,0,1
1601637397,0,2
1601639309,0,1
1601643147,1,1
1601648947,1,1
1601652007,1,0
1601655850,1,1
1601663553,2,0
1601667616,1,0
1601671475,0,1
1601675345,1,0
1601679159,0,3
1601681078,1,0
1601682970,2,1
1601689694,1,0
1601697365,0,1
1601703135,0,1
1601708895,0,1
1601712757,0,1
1601714651,1,0
1601718516,0,1
1601724277,1,0
1601728088,1,0
1601730075,1,1
1601735796,0,2
1601737697,1,0
1601739612,1,0
1601741558,0,1
1601745370,1,0
1601749211,2,1
1601751133,0,1
1601754970,0,1
1601756890,1,0
1601760732,0,1
1601764594,1,0
1601766492,0,1
1601768415,0,1
1601770354,0,1
1601774171,1,0
1601776119,0,1
1601779933,1,0
1601781994,1,0
1601785931,1,0
1601797450,1,0
1601801313,0,1
1601807077,1,0
1601810890,0,1
1601814730,0,1
1601816650,0,1
1601818599,1,0
1601820494,1,0
1601822411,1,0
1601824362,0,1
1601826248,1,1
1601832006,0,1
1601833926,1,0
1601835876,44,2
1601837773,11,0
1601839686,25,0
1601841648,13,1
1601843531,8,0
1601845712,9,0
1601847659,5,0
1601849579,14,0
1601851469,9,1
1601853383,3,0
1601855349,3,0
1601857256,4,0
1601859146,1,0
1601861102,3,1
1601863001,8,0
1601864911,8,0
1601866920,5,2
1601868760,3,0
1601870926,17,0
