DateTime,AddedIPs,RemovedIPs
1601310529,2,0
1601312538,1,0
1601314359,2,0
1601316300,1,0
1601318171,3,0
1601320114,2,0
1601322016,4,1
1601323969,1,1
1601325939,1,34
1601327771,1,2
1601329732,1,6
1601331610,3,3
1601333558,1,4
1601335520,1,0
1601339341,2,0
1601341446,0,1
1601343455,0,3
1601345678,1,0
1601347777,1,1
1601349610,1,3
1601351529,0,3
1601353478,1,5
1601355373,0,3
1601357294,0,4
1601360411,1,3
1601362331,2,1
1601364288,0,2
1601366171,1,2
1601368089,2,1
1601370989,7,1
1601372892,2,0
1601376754,3,0
1601378687,1,0
1601380579,2,0
1601382499,0,2
1601388503,0,1
1601390413,0,1
1601392362,0,1
1601394253,0,2
1601396176,1,2
1601398117,0,1
1601400016,5,1
1601401934,0,1
1601403973,0,6
1601406266,0,2
1601408192,0,5
1601410122,2,1
1601412015,3,0
1601413962,0,2
1601415904,3,1
1601418026,2,3
1601419931,1,1
1601421854,1,1
1601423801,1,0
1601425717,1,2
1601431711,0,1
1601433614,2,0
1601435621,4,2
1601437457,3,0
1601439474,4,1
1601441288,2,0
1601443231,6,0
1601445132,1,0
1601447076,3,1
1601448986,7,2
1601450890,6,1
1601452872,1,1
1601454734,2,3
1601456897,1,4
1601458840,2,4
1601460736,1,0
1601462677,1,3
1601466488,5,2
1601468473,2,1
1601474195,1,0
1601480904,2,0
1601482866,1,1
1601484751,1,2
1601486707,2,2
1601490527,3,0
1601492543,2,0
1601494392,4,0
1601496294,5,1
1601498172,4,3
1601500104,2,0
1601502041,0,1
1601503965,1,4
1601505853,3,1
1601507775,2,1
1601509722,4,1
1601511613,3,0
1601513778,0,1
1601519797,1,2
1601521701,1,3
1601523925,4,4
1601526095,4,3
1601527981,1,2
1601529910,2,7
1601532485,2,2
1601534396,2,2
1601537606,0,14
1601539521,2,0
1601541643,2,2
1601545451,0,2
1601547398,1,1
1601550497,1,1
1601552432,0,3
1601554329,2,4
1601556274,2,0
1601558186,2,0
1601560095,1,0
1601562042,0,2
1601563937,4,0
1601565883,0,2
1601567832,1,0
1601569691,1,2
1601573768,1,2
1601575602,0,1
1601577403,4,3
1601579301,2,4
1601581230,2,2
1601583157,0,4
1601585054,1,3
1601587221,1,0
1601589170,1,0
1601591056,0,2
1601592987,0,2
1601594915,5,4
1601596905,2,3
1601598756,1,1
1601600931,2,0
1601602848,1,0
1601604778,1,1
1601606681,0,1
1601608579,1,2
1601610498,0,3
1601612679,2,4
1601616492,2,2
1601618569,0,2
1601620593,0,2
1601622767,2,0
1601624657,1,0
1601626571,0,2
1601628515,1,2
1601630462,2,0
1601632462,3,1
1601634488,8,0
