DateTime,AddedIPs,RemovedIPs
1601331610,1,0
1601333558,0,2
1601335521,3,3
1601337399,2,1
1601339342,1,0
1601343476,3,2
1601345678,1,0
1601347778,0,1
1601349611,0,1
1601351529,1,0
1601353478,2,1
1601355373,1,3
1601360412,2,3
1601362332,1,2
1601364289,1,0
1601366172,1,1
1601368090,2,1
1601370990,0,2
1601372892,3,3
1601374860,2,0
1601376755,1,6
1601378688,1,1
1601382500,2,1
1601384656,1,1
1601386597,1,1
1601388504,2,1
1601390414,2,0
1601392363,1,1
1601394254,2,0
1601396177,3,0
1601398118,4,0
1601400017,2,1
1601401935,3,5
1601403974,1,1
1601408193,1,0
1601410123,0,1
1601412016,2,0
1601413963,1,1
1601418027,2,2
1601419932,1,0
1601421855,2,3
1601423802,2,2
1601425718,0,1
1601429798,2,3
1601431712,1,1
1601433615,1,0
1601435622,1,0
1601437457,3,0
1601439476,2,3
1601441289,2,1
1601443232,1,0
1601445133,2,0
1601447077,1,2
1601448988,1,1
1601450891,1,1
1601454090,1,3
1601455958,2,0
1601457872,2,0
1601459805,0,3
1601461711,2,2
1601464572,2,2
1601466489,1,0
1601468474,2,2
1601472271,3,1
1601474196,4,3
1601476091,1,2
1601478111,3,0
1601480011,0,3
1601482866,1,3
1601484752,2,4
1601486707,1,2
1601488596,4,2
1601490527,0,1
1601494393,2,2
1601498173,1,1
1601500105,2,2
1601502041,2,0
1601503966,3,2
1601505854,0,1
1601507776,1,2
1601509723,1,2
1601511616,1,0
1601515692,2,1
1601517946,3,2
1601519798,3,1
1601521701,0,1
1601523942,0,3
1601526095,1,2
1601527981,2,3
1601529911,1,0
1601532491,4,3
1601534413,2,1
1601537607,1,1
1601541653,3,2
1601543556,1,2
1601545452,4,1
1601547398,1,1
1601549432,0,2
1601551475,3,1
1601553397,5,2
1601555288,1,1
1601557233,4,0
1601559168,1,5
1601561070,2,2
1601562969,1,1
1601564913,2,3
1601568979,1,1
1601570916,0,2
1601572830,1,1
1601574754,4,3
1601576674,1,0
1601578593,1,1
1601580486,1,0
1601582493,2,2
1601584328,2,1
1601586256,2,2
1601588195,3,2
1601590112,0,3
1601593930,2,1
1601595849,1,1
1601597774,0,1
1601599691,4,0
1601601635,0,2
1601603565,1,2
1601605474,1,4
1601607274,3,0
1601612202,1,1
1601614132,2,2
1601616036,1,1
1601617951,1,4
1601619883,1,0
1601621791,1,2
1601623944,1,1
1601625969,1,0
1601627825,2,3
1601629738,1,1
1601631644,1,4
1601633549,2,1
1601635498,3,0
1601637398,2,2
1601639310,2,5
1601641274,2,2
1601643147,1,2
1601645092,3,2
1601647037,0,3
1601648947,0,1
1601652766,0,2
1601654707,1,1
1601656610,1,0
1601658549,0,1
1601660459,2,3
1601662371,1,2
1601664319,3,0
1601666199,1,1
1601668110,0,2
1601670088,1,3
1601671962,1,1
1601673878,2,2
1601675842,3,2
1601677710,1,0
1601679777,1,0
1601681795,0,2
1601683933,0,1
1601685849,0,2
1601687797,1,2
