DateTime,AddedIPs,RemovedIPs
1601141054,3,0
1601144890,0,2
1601146843,1,3
1601148762,1,0
1601152616,0,1
1601154519,1,1
1601158330,0,1
1601160284,0,2
1601169852,2,0
1601171799,1,1
1601173697,0,2
1601175747,0,3
1601177817,0,2
1601179715,1,2
1601181620,0,1
1601183538,0,1
1601185483,1,2
1601187370,0,1
1601189298,1,1
1601191257,0,1
1601193135,0,1
1601195078,1,2
1601196973,0,1
1601199140,0,2
1601201091,0,1
1601203017,2,1
1601204904,0,4
1601206811,0,1
1601212583,0,1
1601214522,1,0
1601220256,3,0
1601227003,0,5
1601228909,0,1
1601230827,1,0
1601232760,1,1
1601234679,2,1
1601236616,2,0
1601238516,1,0
1601240505,2,1
1601242388,0,3
1601246207,2,0
1601256255,0,2
1601258332,1,1
1601266135,1,1
1601268018,1,0
1601269932,1,0
1601271901,1,1
1601275693,0,1
1601281457,0,1
1601283401,1,0
1601285296,1,0
1601289397,0,2
1601295181,1,0
1601300981,0,1
1601302839,1,0
1601306700,0,2
1601310531,1,0
1601312574,1,0
1601316539,0,1
1601318409,0,1
1601320332,0,1
1601322274,1,2
1601324167,2,2
1601326334,14,2
1601328266,1,0
1601332092,1,2
1601334975,0,1
1601336916,1,0
1601338809,1,0
1601340734,1,1
1601342679,2,0
1601344568,0,1
1601346811,1,0
1601350846,1,0
1601352813,0,1
1601354654,0,2
1601356571,2,1
1601364290,1,0
1601370093,0,1
1601371989,1,1
1601375771,3,0
1601381557,0,1
1601383453,1,0
1601389213,1,1
1601393082,1,1
1601394988,1,0
1601396890,1,1
1601401719,1,0
1601405657,1,0
1601409424,1,1
1601411316,0,2
1601414175,2,15
1601418027,1,1
1601419933,2,0
1601421856,2,0
1601425718,0,1
1601427843,0,3
1601429798,2,0
1601433616,1,1
1601435622,0,1
1601437458,1,0
1601441289,0,1
1601443232,0,1
1601448992,1,0
1601450902,1,1
1601454090,2,0
1601455958,1,0
1601457889,3,1
1601461712,0,3
1601464572,1,0
1601468475,1,0
1601470336,2,1
1601472272,1,0
1601474197,2,1
1601476092,1,0
1601479235,3,1
1601481129,5,1
1601483077,0,1
1601484977,2,0
1601486890,0,2
1601489773,2,0
1601491929,1,0
1601493854,5,1
1601495799,0,1
1601497689,1,0
1601499699,0,1
1601501557,1,1
1601504408,0,1
1601506330,1,2
1601508276,0,2
1601510181,0,1
1601512088,1,0
1601515959,0,1
1601517976,1,0
1601519799,1,1
1601521702,1,0
1601523979,1,1
1601532506,1,0
1601534441,1,1
1601537608,1,1
1601541657,0,2
1601543556,0,2
1601545452,1,1
1601547399,1,0
1601549433,1,0
1601551480,2,1
1601553408,2,0
1601555289,1,1
1601557257,1,2
1601559168,4,3
1601562969,1,1
1601564913,0,1
1601566813,0,6
1601568981,0,1
1601570917,0,2
1601574754,1,2
1601576674,3,1
1601578595,1,0
1601580486,0,2
1601582517,1,0
1601584328,0,1
1601586257,1,1
1601588196,1,0
1601590124,1,0
1601593930,0,1
1601595850,1,0
1601597775,1,1
1601599692,1,0
1601601636,1,1
1601603566,2,0
1601605474,1,1
1601609293,0,2
1601611319,1,0
1601615298,1,0
1601617216,0,1
1601621049,1,1
1601623231,1,1
1601625130,2,0
1601627099,1,0
1601629032,2,0
1601631139,0,2
1601633111,4,0
1601634980,4,1
1601636926,1,3
1601638813,1,2
1601640736,0,1
1601642657,1,1
1601644575,4,0
1601646531,1,4
1601648425,1,1
1601652287,2,0
1601654199,2,0
1601656115,1,0
1601658164,1,0
