DateTime,Entries,UniqueIPs
1601442148,1404,1404
1601443963,1406,1406
1601445950,1397,1397
1601447874,1391,1391
1601449698,1381,1381
1601451614,1361,1361
1601453570,1364,1364
1601455452,1365,1365
1601457408,1358,1358
1601459297,1349,1349
1601461251,1344,1344
1601463134,1348,1348
1601465055,1355,1355
1601467007,1362,1362
1601468896,1332,1332
1601471772,1329,1329
1601473691,1314,1314
1601475639,1305,1305
1601477537,1302,1302
1601479459,1302,1302
1601481400,1312,1312
1601483294,1317,1317
1601485436,1317,1317
1601487414,1325,1325
1601489375,1320,1320
1601491211,1311,1311
1601493143,1315,1315
1601495077,1318,1318
1601496973,1326,1326
1601498893,1337,1337
1601500812,1350,1350
1601502729,1362,1362
1601504680,1366,1366
1601506572,1365,1365
1601508494,1366,1366
1601510530,1368,1368
1601512330,1368,1368
1601514153,1363,1363
1601515960,1424,1424
1601517994,1437,1437
1601519800,1436,1436
1601521703,1442,1442
1601524021,1511,1511
1601526096,1452,1452
1601527982,1458,1458
1601529913,1462,1462
1601532538,1464,1464
1601534446,1454,1454
1601537657,1405,1405
1601539626,1405,1405
1601541657,1430,1430
1601543557,1438,1438
1601545453,1441,1441
1601547399,1442,1442
1601549433,1438,1438
1601551481,1427,1427
1601553413,1430,1430
1601555290,1427,1427
1601558188,1419,1419
1601560096,1435,1435
1601562044,1448,1448
1601563938,1447,1447
1601565884,1449,1449
1601567834,1438,1438
1601569694,1438,1438
1601571882,1431,1431
1601573769,1431,1431
1601575623,1430,1430
1601577608,1418,1418
1601579560,1406,1406
1601581473,1397,1397
1601583376,1394,1394
1601585322,1378,1378
1601587222,1358,1358
1601589173,1347,1347
1601591058,1335,1335
1601592996,1330,1330
1601594917,1327,1327
1601596976,1318,1318
1601598967,1306,1306
1601600934,1300,1300
1601602853,1239,1239
1601604780,1233,1233
1601606683,1231,1231
1601608580,1224,1224
1601610499,1158,1158
1601612680,1142,1142
1601614575,1140,1140
1601616493,1140,1140
1601618624,1137,1137
1601620597,1138,1138
1601622769,1136,1136
1601624658,1099,1099
1601626572,1090,1090
1601628516,1096,1096
1601630468,1085,1085
1601632466,1106,1106
1601634490,1132,1132
1601636577,1124,1124
1601638572,1123,1123
1601640514,1128,1128
1601642658,1139,1139
1601644576,1141,1141
1601646532,1136,1136
1601648426,1125,1125
1601650360,1129,1129
1601652289,1125,1125
1601654203,1139,1139
1601656116,1140,1140
1601658199,1144,1144
1601660460,1132,1132
1601662373,1126,1126
1601664324,1126,1126
1601666201,1124,1124
1601668111,1118,1118
1601670090,1120,1120
1601671963,1119,1119
1601673879,1121,1121
1601675843,1120,1120
1601677711,1121,1121
1601679822,1123,1123
1601681795,1174,1174
1601683935,1171,1171
1601685851,1169,1169
1601687798,1168,1168
1601689696,1164,1164
1601691634,1156,1156
1601693653,1156,1156
1601695479,1166,1166
1601697369,1181,1181
1601699291,1185,1185
1601701340,1187,1187
1601703395,1189,1189
1601705291,1199,1199
1601707210,1197,1197
1601709156,1198,1198
1601711066,1203,1203
1601712968,1217,1217
1601714914,1216,1216
1601716810,1223,1223
1601718730,1207,1207
1601720675,1169,1169
1601722575,1170,1170
1601724490,1171,1171
1601726444,1177,1177
1601728330,1174,1174
1601730497,1183,1183
1601732417,1171,1171
1601734355,1164,1164
1601736254,1164,1164
1601738171,1145,1145
1601740113,1145,1145
1601742008,1153,1153
1601743933,1194,1194
1601745876,1341,1341
1601747771,1420,1420
1601749689,1418,1418
1601751700,1420,1420
1601753547,1424,1424
1601755495,1415,1415
1601757454,1415,1415
1601759334,1422,1422
1601761241,1429,1429
1601763170,1472,1472
1601765071,1544,1544
1601766975,1532,1532
1601768938,1494,1494
1601770854,1502,1502
1601772749,1510,1510
1601774745,1510,1510
1601776620,1518,1518
1601778523,1521,1521
1601780482,1521,1521
1601782355,1512,1512
1601784273,1504,1504
1601786229,1495,1495
1601788117,1501,1501
1601790034,1493,1493
1601791978,1494,1494
1601793881,1494,1494
1601795811,1495,1495
1601797736,1487,1487
1601799624,1496,1496
1601801558,1516,1516
1601803519,1514,1514
1601805405,1526,1526
1601807291,1528,1528
1601809299,1532,1532
1601811137,1535,1535
1601813053,1531,1531
1601815002,1537,1537
1601816909,1534,1534
1601818884,1538,1538
1601820778,1848,1848
1601822664,1844,1844
1601824594,1848,1848
1601826534,1848,1848
1601828443,1854,1854
1601830330,1821,1821
1601832284,1671,1671
1601834174,1587,1587
1601836096,1598,1598
1601838104,1603,1603
1601839938,1616,1616
1601841852,1619,1619
1601843824,1625,1625
1601845714,1624,1624
1601847662,1624,1624
1601849581,1576,1576
1601851472,1513,1513
1601853384,1515,1515
1601855350,1531,1531
1601857259,1532,1532
1601859148,1521,1521
1601861103,1522,1522
1601863002,1522,1522
1601864913,1526,1526
1601866968,1528,1528
1601869116,1526,1526
1601870929,1536,1536
1601872842,1534,1534
1601874794,1538,1538
1601876655,1547,1547
1601878579,1540,1540
1601880536,1540,1540
1601882449,1311,1311
1601884359,1554,1554
1601886298,1539,1539
1601888229,1532,1532
1601890119,1530,1530
1601892153,1514,1514
1601893965,1502,1502
1601896103,1492,1492
1601898015,1489,1489
1601899967,1477,1477
1601901858,1477,1477
1601903777,1472,1472
1601905724,1473,1473
1601907619,1166,1166
1601909538,1169,1169
1601911483,1170,1170
1601913374,1173,1173
1601915537,1153,1153
1601917465,1151,1151
1601919410,1154,1154
1601921301,1151,1151
1601923218,1135,1135
1601925165,1126,1126
1601927055,1112,1112
1601928976,1098,1098
1601930922,1095,1095
1601932817,1102,1102
1601934734,1098,1098
1601936687,1102,1102
1601938575,1107,1107
1601940740,1097,1097
1601942657,1088,1088
1601944607,1090,1090
1601946501,1097,1097
1601948419,1100,1100
1601950364,1100,1100
1601952259,1093,1093
1601954175,1094,1094
1601956308,1085,1085
1601958280,1195,1195
1601960176,1192,1192
1601962092,1189,1189
1601964106,1182,1182
1601965947,1190,1190
1601967864,1180,1180
1601969800,957,957
1601971701,1191,1191
1601973615,1205,1205
1601975566,1205,1205
1601977458,1208,1208
1601979379,1205,1205
1601981322,1221,1221
1601983215,1223,1223
1601985137,1219,1219
1601987082,1220,1220
1601988974,1213,1213
1601990896,1222,1222
1601992856,1214,1214
1601994741,1209,1209
1601996661,1196,1196
1601998603,1191,1191
1602000499,1193,1193
1602002422,1185,1185
1602004361,1185,1185
1602006254,1196,1196
1602008174,1200,1200
1602010124,1208,1208
1602012016,1212,1212
1602013936,1223,1223
1602015881,1221,1221
1602017775,1223,1223
1602019726,1221,1221
1602021641,1213,1213
1602023538,1214,1214
1602025482,1200,1200
1602027380,1206,1206
1602029300,1206,1206
1602031240,1202,1202
1602033381,1263,1263
1602035293,1265,1265
1602037242,1261,1261
1602039139,1268,1268
1602041057,1275,1275
1602043004,1288,1288
1602044898,1167,1167
1602046939,1178,1178
1602048772,1182,1182
1602050659,1188,1188
1602052580,1187,1187
1602054533,1204,1204
1602056416,1206,1206
1602058339,1219,1219
1602060280,1215,1215
1602062175,1232,1232
1602064337,1241,1241
1602066257,1242,1242
1602068206,1244,1244
1602070093,1250,1250
1602072051,1268,1268
1602073938,1272,1272
1602075859,1280,1280
1602077798,1274,1274
1602079699,1281,1281
1602081615,1296,1296
1602083571,1299,1299
1602085455,1310,1310
1602087400,1370,1370
1602089293,1381,1381
1602091215,1385,1385
1602093159,1369,1369
1602095053,1377,1377
1602096975,1375,1375
1602098920,1370,1370
1602100901,1369,1369
1602102741,1367,1367
1602104683,1364,1364
1602106578,1364,1364
1602108524,1367,1367
1602110417,1382,1382
1602112335,1392,1392
1602114290,1390,1390
1602116175,1402,1402
1602118097,1402,1402
1602120045,1337,1337
1602121939,1339,1339
1602123889,1344,1344
1602125784,1339,1339
1602127699,1325,1325
1602129713,1312,1312
1602131538,1321,1321
1602133464,1315,1315
1602135408,1309,1309
1602137303,1307,1307
1602139220,1296,1296
1602141169,1280,1280
1602143073,1268,1268
1602144976,1241,1241
1602146922,1378,1378
1602148819,1360,1360
1602150739,1367,1367
1602152686,1437,1437
1602154581,1420,1420
1602156746,1406,1406
1602158658,1413,1413
1602160609,1401,1401
1602162503,1402,1402
1602164425,1402,1402
1602166368,1393,1393
1602168262,1398,1398
1602170176,1401,1401
1602172124,1667,1667
1602174017,1607,1607
1602175937,1603,1603
1602177885,1600,1600
1602179782,1615,1615
1602181722,1617,1617
1602183668,1629,1629
1602185538,1636,1636
1602187488,1643,1643
1602189376,1643,1643
1602191298,1643,1643
1602193242,1648,1648
1602195144,1650,1650
1602197061,1642,1642
1602198982,1652,1652
1602200894,1660,1660
1602202844,1648,1648
1602204735,1653,1653
1602206660,1660,1660
1602208607,1654,1654
1602210496,1645,1645
1602212532,1642,1642
1602214362,1655,1655
1602216256,1724,1724
1602218137,1710,1710
1602220122,1713,1713
1602222014,1715,1715
1602223935,1724,1724
1602225881,1729,1729
1602227771,1701,1701
1602229937,1724,1724
1602231859,1730,1730
1602233808,1605,1605
1602235694,1600,1600
1602237656,1605,1605
1602239570,1545,1545
1602241456,1553,1553
1602243374,1558,1558
1602245330,1540,1540
1602247216,1541,1541
1602249140,1542,1542
1602251090,1547,1547
1602252976,1554,1554
1602254893,1548,1548
1602256846,1560,1560
1602258742,1285,1285
1602260658,1288,1288
1602262603,1288,1288
1602264495,1291,1291
1602266433,1278,1278
1602268366,1275,1275
1602270262,1346,1346
1602272175,1357,1357
1602274128,1353,1353
1602276016,1362,1362
1602277937,1366,1366
1602279886,1361,1361
1602281772,1351,1351
1602283696,1343,1343
1602285643,1345,1345
1602287534,1339,1339
1602289457,1332,1332
1602291407,1339,1339
1602293295,1341,1341
1602295292,1336,1336
1602297163,1332,1332
1602299066,1339,1339
1602300977,1334,1334
1602302929,1264,1264
1602304816,1265,1265
1602306742,1262,1262
1602308684,1265,1265
1602310576,1257,1257
1602312492,1259,1259
1602314446,1264,1264
1602316335,1273,1273
1602318260,1283,1283
1602320208,1284,1284
1602322095,1285,1285
1602324106,1289,1289
1602325968,1288,1288
