DateTime,AddedIPs,RemovedIPs
1601444888,13,10
1601446813,16,12
1601448729,10,9
1601450714,4,8
1601452569,9,15
1601454490,8,11
1601456525,7,16
1601458342,19,19
1601460290,13,13
1601462176,15,12
1601464115,21,5
1601466012,6,20
1601467932,12,17
1601469881,20,9
1601471773,15,10
1601473692,9,15
1601475641,13,10
1601477537,9,16
1601479460,12,6
1601481401,13,9
1601483294,15,19
1601485440,17,10
1601487415,16,13
1601489377,9,8
1601491214,14,11
1601493145,14,9
1601495078,8,16
1601496973,17,11
1601498893,12,14
1601500814,19,8
1601502731,11,5
1601504682,12,9
1601506584,13,13
1601508497,8,21
1601510572,23,12
1601512594,9,6
1601514531,13,11
1601516428,4,5
1601518373,7,12
1601520264,10,15
1601522209,12,13
1601524204,11,14
1601526098,8,9
1601527984,9,7
1601529916,6,10
1601532672,21,23
1601534549,14,12
1601537765,15,12
1601539698,6,7
1601541755,7,10
1601543580,7,7
1601545475,5,17
1601547401,11,11
1601549435,14,21
1601551483,13,14
1601553415,13,11
1601555292,12,18
1601557297,12,10
1601559174,13,11
1601561093,9,12
1601562972,4,12
1601564915,14,9
1601566814,14,14
1601568985,11,10
1601570919,18,23
1601572834,21,15
1601574756,12,8
1601576676,11,16
1601578614,7,5
1601580488,10,9
1601582627,16,18
1601584622,4,14
1601586491,12,18
1601588414,270,14
1601590332,14,7
1601592251,8,11
1601594194,7,12
1601596093,17,17
1601598033,6,18
1601599947,12,8
1601601858,5,11
1601603850,8,3
1601605720,10,6
1601607755,7,15
1601609564,5,15
1601611799,18,9
1601613616,5,10
1601615556,5,8
1601617450,11,8
1601619375,8,17
1601621342,8,11
1601623234,12,11
1601625132,13,9
1601627100,17,4
1601629038,11,3
1601631140,9,10
1601633148,12,10
1601634984,18,13
1601636928,23,10
1601638818,15,11
1601640738,18,13
1601642660,20,8
1601644578,8,22
1601646537,10,4
1601648428,13,6
1601650362,5,9
1601652291,4,16
1601654208,10,9
1601656118,10,14
1601658338,13,22
1601660462,8,19
1601662375,11,15
1601664335,11,10
1601666203,9,8
1601668113,11,13
1601670092,5,8
1601671968,5,9
1601673881,9,271
1601675847,11,11
1601677713,18,9
1601679931,12,8
1601681797,4,14
1601683937,12,16
1601685853,15,8
1601687800,15,8
1601689699,2,4
1601691636,9,10
