DateTime,Entries,UniqueIPs
1601444169,1075,1075
1601446375,1056,1056
1601448265,1050,1050
1601450199,1042,1042
1601452149,1038,1038
1601454125,1032,1032
1601455962,1031,1031
1601457894,1037,1037
1601459809,1072,1072
1601461771,1086,1086
1601464578,1083,1083
1601466498,1074,1074
1601468482,1085,1085
1601470341,1096,1096
1601472331,1090,1090
1601474203,1114,1114
1601476099,1120,1120
1601478331,1112,1112
1601480175,1114,1114
1601482051,1120,1120
1601484019,1120,1120
1601486019,1126,1126
1601487937,1132,1132
1601489787,1118,1118
1601491940,1124,1124
1601493862,1138,1138
1601495816,1134,1134
1601497697,1133,1133
1601499834,1150,1150
1601501817,1132,1132
1601503692,1154,1154
1601505618,1172,1172
1601507560,1176,1176
1601509453,1168,1168
1601511430,1192,1192
1601513344,1202,1202
1601515367,1199,1199
1601517374,1201,1201
1601519297,1199,1199
1601521406,1205,1205
1601523396,1219,1219
1601525574,1246,1246
1601527462,1251,1251
1601529412,1267,1267
1601531726,1289,1289
1601533763,1308,1308
1601535894,1325,1325
1601537774,1357,1357
1601539867,1363,1363
1601541806,1367,1367
1601543793,1361,1361
1601545696,1351,1351
1601547609,1340,1340
1601549439,1344,1344
1601551508,1345,1345
1601553420,1359,1359
1601555295,1368,1368
1601557417,1366,1366
1601559374,1380,1380
1601561315,1388,1388
1601563214,1402,1402
1601565129,1413,1413
1601567077,1409,1409
1601568999,1417,1417
1601570922,1427,1427
1601572839,1449,1449
1601574760,1471,1471
1601576680,1478,1478
1601578625,1478,1478
1601580499,1476,1476
1601582699,1475,1475
1601584626,1462,1462
1601586495,1470,1470
1601588419,1469,1469
1601590337,1466,1466
1601592256,1468,1468
1601594197,1475,1475
1601596098,1463,1463
1601598037,1444,1444
1601599950,1448,1448
1601601861,1457,1457
1601603856,1461,1461
1601605724,1480,1480
1601607899,1486,1486
1601609829,1490,1490
1601611804,1484,1484
1601613620,1493,1493
1601615560,1497,1497
1601617454,1501,1501
1601619380,1500,1500
1601621346,1495,1495
1601623239,1496,1496
1601625136,1490,1490
1601627106,1492,1492
1601629058,1488,1488
1601631157,1462,1462
1601633160,1452,1452
1601634988,1451,1451
1601636933,1454,1454
1601638824,1450,1450
1601640747,1436,1436
1601642666,1425,1425
1601644583,1426,1426
1601646542,1409,1409
1601648433,1395,1395
1601650366,1397,1397
1601652297,1400,1400
1601654231,1393,1393
1601656122,1395,1395
1601658397,1376,1376
1601660466,1349,1349
1601662379,1340,1340
1601664349,1333,1333
1601666208,1329,1329
1601668118,1344,1344
1601670096,1366,1366
1601671972,1358,1358
1601673886,1349,1349
1601675850,1346,1346
1601677717,1333,1333
1601679978,1341,1341
1601681831,1321,1321
1601683941,1331,1331
1601685890,1324,1324
1601687805,1312,1312
1601689704,1319,1319
1601691641,1325,1325
1601693660,1324,1324
1601695485,1322,1322
1601697376,1313,1313
1601699299,1313,1313
1601701420,1302,1302
1601703404,1290,1290
1601705302,1271,1271
1601707218,1266,1266
1601709175,1264,1264
1601711073,1250,1250
1601712976,1253,1253
1601714921,1244,1244
1601716817,1251,1251
1601718740,1251,1251
1601720682,1259,1259
1601722595,1262,1262
1601724511,1270,1270
1601726454,1264,1264
1601728337,1278,1278
1601730188,1295,1295
1601732219,1296,1296
1601734104,1288,1288
1601736018,1277,1277
1601737957,1258,1258
1601739856,1252,1252
1601741773,1253,1253
1601743715,1240,1240
1601745611,1233,1233
1601747536,1232,1232
1601749479,1232,1232
1601751382,1229,1229
1601753293,1226,1226
1601755263,1209,1209
1601757142,1180,1180
1601759003,1169,1169
1601760999,1166,1166
1601762898,1162,1162
1601764824,1170,1170
1601766759,1159,1159
1601768658,1159,1159
1601770574,1148,1148
1601772516,1149,1149
1601774413,1147,1147
1601776333,1150,1150
1601778282,1146,1146
1601780180,1133,1133
1601782003,1114,1114
1601784137,1116,1116
1601785942,1122,1122
1601787861,1110,1110
1601789802,1107,1107
1601791697,1106,1106
1601793614,1101,1101
1601795568,1093,1093
1601797457,1098,1098
1601799373,1103,1103
1601801326,1101,1101
1601803214,1093,1093
1601805138,1091,1091
1601807084,1091,1091
1601808986,1090,1090
1601810898,1084,1084
1601812855,1065,1065
1601814737,1036,1036
1601816658,1005,1005
1601818607,987,987
1601820503,1090,1090
1601822420,1196,1196
1601824371,1204,1204
1601826256,1194,1194
1601828175,1185,1185
1601830124,1213,1213
1601832013,1260,1260
1601833936,1276,1276
1601835884,1275,1275
1601837787,1266,1266
1601839694,1263,1263
1601841676,1319,1319
1601843538,1400,1400
1601845390,1426,1426
1601847401,1420,1420
1601849298,1431,1431
1601851214,1442,1442
1601853163,1504,1504
1601855054,1531,1531
1601856970,1543,1543
1601858919,1557,1557
1601860813,1562,1562
1601862735,1566,1566
1601864686,1610,1610
1601866589,1626,1626
1601868499,1645,1645
1601870518,1650,1650
1601872346,1653,1653
1601874155,1693,1693
1601876194,1741,1741
1601878102,1772,1772
1601880012,1785,1785
1601881962,1807,1807
1601883855,1813,1813
1601885773,1850,1850
1601887721,1880,1880
1601889650,1894,1894
1601891534,1904,1904
1601893485,1912,1912
1601895372,1944,1944
1601897291,2003,2003
1601899329,2035,2035
1601901135,2061,2061
1601903056,2094,2094
1601905005,2101,2101
1601906893,2030,2030
1601908812,1973,1973
1601910766,2005,2005
1601912654,2016,2016
1601914574,2039,2039
1601916518,2028,2028
1601918411,2007,2007
1601920330,2014,2014
1601922283,2037,2037
1601924174,2063,2063
1601926091,2068,2068
1601928113,2039,2039
1601929933,1992,1992
1601931858,1979,1979
1601933799,1994,1994
1601935696,2002,2002
1601937616,2002,2002
1601939562,1967,1967
1601941457,1975,1975
1601943621,1998,1998
1601945534,2000,2000
1601947482,2000,2000
1601949375,1984,1984
1601951547,1957,1957
1601953467,1967,1967
1601955407,1957,1957
1601957299,1968,1968
1601959232,1969,1969
1601961169,1968,1968
1601963059,1969,1969
1601964979,1966,1966
1601966923,1978,1978
1601968822,1994,1994
1601970738,1990,1990
1601972687,2019,2019
1601974581,2037,2037
1601976507,2040,2040
1601978599,2057,2057
1601980602,2047,2047
1601982504,2030,2030
1601984420,2006,2006
1601986360,2016,2016
1601988258,2012,2012
1601990175,2023,2023
1601992118,2030,2030
1601994013,2004,2004
1601995938,1980,1980
1601997881,1967,1967
1601999781,1955,1955
1602001694,1949,1949
1602003798,1927,1927
1602005807,1930,1930
1602007697,1924,1924
1602009612,1919,1919
1602011559,1931,1931
1602013466,1939,1939
1602015372,1957,1957
1602017319,1972,1972
1602019268,1971,1971
1602021176,1974,1974
1602023096,1954,1954
1602024995,1947,1947
1602026921,1948,1948
1602028857,1949,1949
1602030754,1937,1937
1602032628,1938,1938
1602034584,1956,1956
1602036521,1960,1960
1602038420,1970,1970
1602040336,1961,1961
1602042301,1963,1963
1602044458,1969,1969
1602046388,1955,1955
1602048260,1936,1936
1602050222,1933,1933
1602052098,1917,1917
1602054155,1904,1904
1602055973,1893,1893
1602057868,1863,1863
1602059784,1818,1818
1602061727,1810,1810
1602063641,1796,1796
1602065547,1793,1793
1602067499,1786,1786
1602069418,1779,1779
1602071339,1786,1786
1602073248,1780,1780
1602075150,1775,1775
1602077101,1787,1787
1602079027,1786,1786
1602080929,1802,1802
1602083007,1819,1819
1602085243,1831,1831
1602087136,1827,1827
1602089055,1839,1839
1602090997,1850,1850
1602092893,1840,1840
1602094817,1845,1845
1602096762,1835,1835
1602098657,1834,1834
1602100578,1855,1855
1602102521,1834,1834
1602104499,1846,1846
1602106362,1853,1853
1602108267,1877,1877
1602110175,1883,1883
1602112128,1891,1891
1602114296,1878,1878
1602116181,1867,1867
1602118117,1872,1872
1602120058,1871,1871
1602121946,1881,1881
1602123912,1866,1866
1602125793,1852,1852
1602127712,1850,1850
1602129790,1856,1856
1602131810,1840,1840
1602133697,1851,1851
1602135613,1857,1857
1602137563,1871,1871
1602139454,1882,1882
1602141372,1891,1891
1602143319,1868,1868
1602145211,1848,1848
1602147135,1848,1848
1602149095,1861,1861
1602151020,1871,1871
1602152895,1870,1870
1602154981,1876,1876
1602156999,1873,1873
1602158893,1856,1856
1602160811,1858,1858
1602162758,1846,1846
1602164660,1853,1853
1602166880,1847,1847
1602168746,1852,1852
1602170697,1853,1853
1602172609,1858,1858
1602174508,1852,1852
1602176597,1842,1842
1602178844,1843,1843
1602180738,1834,1834
1602182660,1834,1834
1602184600,1823,1823
1602186494,1806,1806
1602188417,1797,1797
1602190366,1796,1796
1602192260,1792,1792
1602194175,1773,1773
1602196120,1751,1751
1602198144,1750,1750
1602199968,1761,1761
1602201858,1769,1769
1602203778,1804,1804
1602205727,1811,1811
1602207617,1825,1825
1602209537,1831,1831
1602211485,1832,1832
1602213379,1844,1844
1602215535,1853,1853
1602217463,1854,1854
1602219414,1855,1855
1602221291,1833,1833
1602223338,1835,1835
1602225163,1830,1830
1602227060,1818,1818
1602228973,1833,1833
1602230925,1837,1837
1602232815,1839,1839
1602234738,1826,1826
1602236683,1814,1814
1602238573,1820,1820
1602240495,1808,1808
1602242448,1804,1804
1602244333,1807,1807
1602246253,1801,1801
1602248203,1814,1814
1602250093,1809,1809
1602252038,1797,1797
1602253966,1797,1797
1602255860,1790,1790
1602257775,1782,1782
1602259727,1775,1775
1602261620,1772,1772
1602263535,1765,1765
1602265482,1779,1779
1602267376,1782,1782
1602269296,1793,1793
1602271251,1778,1778
1602273135,1762,1762
1602275056,1801,1801
1602277003,1805,1805
1602278893,1825,1825
1602280850,1828,1828
1602282763,1842,1842
1602284658,1833,1833
1602286578,1822,1822
1602288527,1813,1813
1602290414,1783,1783
1602292335,1774,1774
1602294283,1762,1762
1602296177,1750,1750
1602298097,1757,1757
1602300043,1749,1749
1602301934,1737,1737
1602303857,1745,1745
1602305803,1767,1767
1602307692,1834,1834
1602309642,1848,1848
1602311570,1833,1833
1602313457,1836,1836
1602315378,1845,1845
1602317326,1862,1862
1602319217,1883,1883
1602321138,1880,1880
