DateTime,AddedIPs,RemovedIPs
1601442997,78,122
1601444892,79,102
1601446816,75,101
1601448732,68,110
1601450739,82,123
1601452581,83,63
1601454493,101,115
1601457894,233,197
1601459810,85,100
1601461771,93,89
1601464579,127,138
1601466498,103,81
1601468484,95,81
1601470342,85,74
1601472331,126,76
1601474204,94,72
1601476099,90,63
1601478332,100,63
1601480177,80,56
1601482052,77,52
1601484019,115,59
1601486021,77,51
1601487944,63,56
1601489787,121,63
1601491941,97,68
1601493862,100,51
1601495817,130,60
1601497698,80,56
1601499837,78,89
1601501818,99,92
1601503693,94,50
1601505618,108,56
1601507561,89,71
1601509454,101,49
1601511430,120,60
1601513344,93,47
1601515367,104,80
1601517375,76,59
1601519298,86,60
1601521410,82,71
1601523399,91,60
1601525576,106,81
1601527464,91,56
1601529412,113,67
1601531729,112,71
1601533791,87,51
1601535904,99,64
1601537776,89,63
1601539890,80,85
1601541809,100,95
1601543794,89,86
1601545697,71,72
1601547610,99,70
1601549440,74,71
1601551509,137,80
1601553420,89,204
1601555295,87,71
1601557425,86,82
1601559375,94,92
1601561316,95,73
1601563216,60,73
1601565130,71,61
1601567078,84,69
1601569000,107,74
1601570923,69,85
1601572840,78,66
1601574760,81,73
1601576680,85,100
1601578626,92,81
1601580501,86,74
1601582700,100,89
1601584626,91,68
1601586497,97,138
1601588420,66,85
1601590337,72,96
1601592257,90,73
1601594198,82,93
1601596098,89,92
1601598037,78,106
1601599951,76,66
1601601861,90,100
1601603857,75,82
1601605724,83,80
1601607906,104,98
1601609830,110,90
1601611804,92,72
1601613621,80,80
1601615561,128,95
1601617455,83,72
1601619380,108,67
1601621347,112,75
1601623239,94,89
1601625137,110,87
1601627106,108,97
1601629058,97,85
1601631157,108,97
1601633166,96,95
1601634989,110,85
1601636964,90,89
1601638825,71,92
1601640748,61,81
1601642666,116,90
1601644583,74,79
1601646543,71,94
1601648434,73,72
1601650367,82,75
1601652297,92,164
1601654233,74,66
1601656122,79,71
1601658398,98,103
1601660467,84,81
1601662379,99,100
1601664350,84,70
1601666208,84,103
1601668118,78,64
1601670097,78,80
1601671972,75,94
1601673887,88,89
1601675851,72,80
1601677718,75,99
1601679979,109,95
1601681832,79,84
1601683942,70,99
1601685890,77,69
1601687806,97,97
1601689704,89,84
1601691642,88,79
1601693661,78,98
1601695485,68,87
1601697377,53,94
1601699299,73,92
1601701421,85,114
1601703405,77,117
1601705302,69,103
1601707219,68,114
1601709176,78,105
1601711074,68,97
1601712976,53,108
1601714922,80,115
1601716818,78,98
1601718740,72,125
1601720683,96,116
1601722596,73,96
1601724511,72,73
1601726454,75,81
1601728338,68,120
1601730190,55,68
1601732220,73,93
1601734105,68,70
1601736019,59,76
1601737958,77,134
1601739857,85,89
1601741774,65,102
1601743716,64,79
1601745612,83,92
1601747537,65,99
1601749479,98,96
1601751383,71,83
1601753293,106,94
1601755264,109,84
1601757142,92,84
1601759003,89,87
1601761000,98,91
1601762898,69,92
1601764825,81,105
1601766760,73,103
1601768659,58,86
1601770574,96,74
1601772516,84,70
1601774414,85,106
1601776334,90,105
1601778283,68,87
1601780182,79,92
1601782005,72,80
1601784143,68,76
1601785944,78,80
1601787862,78,83
1601789802,73,67
1601791698,86,64
1601793615,69,69
1601795569,78,93
1601797457,68,74
1601799373,62,56
1601801327,86,72
1601803215,73,54
1601805139,80,82
1601807085,84,100
1601808987,112,77
1601810898,53,77
1601812856,61,61
1601814738,45,86
1601816658,120,75
1601818607,323,66
1601820503,115,65
1601822421,47,51
1601824371,51,73
1601826257,58,75
1601828176,182,82
1601830124,162,59
1601832014,77,76
1601833936,54,71
1601835884,53,56
1601837787,78,81
1601839694,277,75
1601841677,139,103
1601843539,83,78
1601845392,60,147
1601847402,93,104
1601849298,123,71
1601851215,175,74
1601853163,81,70
1601855054,71,65
1601856970,69,110
1601858919,70,73
1601860813,177,73
1601862737,140,81
1601864686,86,78
1601866590,77,76
1601868500,89,61
1601870519,85,73
1601872346,163,82
1601874162,114,60
1601876196,102,74
1601878103,110,70
1601880012,84,77
1601881963,143,83
1601883855,138,65
1601885773,113,73
1601887722,93,63
1601889651,100,56
1601891535,98,74
1601893485,160,101
1601895373,114,94
1601897291,94,83
1601899333,71,64
1601901135,70,38
1601903057,84,90
1601905006,142,164
1601906894,81,125
1601908813,75,50
1601910766,79,36
1601912654,59,53
1601914575,101,113
1601916519,119,131
1601918412,90,81
1601920331,83,42
1601922283,69,51
1601924174,74,83
1601926091,114,141
1601928116,75,114
1601929934,75,75
1601931859,84,68
1601933799,85,77
1601935697,88,132
1601937617,142,119
1601939562,86,103
1601941458,73,61
1601943621,78,76
1601945534,69,90
1601947483,116,154
1601949375,99,117
1601951548,75,90
1601953467,74,89
1601955408,66,93
1601957299,102,121
1601959233,97,104
1601961170,86,132
1601963060,85,82
1601964979,82,88
1601966924,76,111
1601968823,115,118
1601970739,83,140
1601972688,93,89
1601974582,71,91
1601976507,68,89
1601978600,102,154
1601980602,114,143
1601982505,85,115
1601984420,73,84
1601986360,61,96
1601988258,63,73
1601990175,88,99
1601992118,77,140
1601994014,79,78
1601995938,79,69
1601997882,80,80
1601999782,67,68
1602001695,121,107
1602003801,118,81
1602005808,106,87
1602007697,72,85
1602009613,74,94
1602011560,75,93
1602013466,109,78
1602015373,89,75
1602017320,72,82
1602019270,81,92
