DateTime,AddedIPs,RemovedIPs
1601351821,2,3
1601353715,2,4
1601355919,0,1
1601357803,3,8
1601359728,1,5
1601361633,0,3
1601363594,2,2
1601365464,2,2
1601367452,1,0
1601369391,1,1
1601371233,4,14
1601373171,1,5
1601375144,2,3
1601377036,2,0
1601378891,1,1
1601381078,0,2
1601383012,1,1
1601384919,2,1
1601386846,1,0
1601388782,1,5
1601390669,2,1
1601392599,1,7
1601394568,2,0
1601396506,1,5
1601398356,1,2
1601400342,0,1
1601402211,0,2
1601408215,1,5
1601410137,3,1
1601412022,1,2
1601413976,8,2
1601415913,2,1
1601419938,2,0
1601423809,0,3
1601425724,5,2
1601428041,1,0
1601430009,1,1
1601433875,1,0
1601436017,2,4
1601437939,2,1
1601440126,4,3
1601442227,2,0
1601444170,1,3
1601446376,0,1
1601448266,1,0
1601450205,4,2
1601452152,1,2
1601454126,1,1
1601455963,1,2
1601457895,3,3
1601459811,1,1
1601461772,2,2
1601464584,4,2
1601466499,1,1
1601468487,3,1
1601470343,0,2
1601472332,1,0
1601474205,1,2
1601476100,2,2
1601478333,5,1
1601480179,5,0
1601482054,1,3
1601484021,4,0
1601486024,5,1
1601487993,1,0
1601490033,1,0
1601493863,5,0
1601495818,3,2
1601497701,1,3
1601499849,3,6
1601501819,2,4
1601503694,4,0
1601505619,3,0
1601507562,1,2
1601509455,2,0
1601511431,0,5
1601513346,1,1
1601515368,4,0
1601517380,3,1
1601519299,2,0
1601521422,3,3
1601523407,2,0
1601525580,5,6
1601527489,4,1
1601529413,2,1
1601531839,2,1
1601533831,0,1
1601535958,2,1
1601537783,2,4
1601539920,6,1
1601541837,4,1
1601543795,3,3
1601545700,2,0
1601547611,0,1
1601549441,0,4
1601551510,3,2
1601553424,0,3
1601555297,5,1
1601557465,3,0
1601559379,4,1
1601561317,7,1
1601563221,3,3
1601565131,3,8
1601567079,3,1
1601569002,2,2
1601570924,3,5
1601572841,1,3
1601574762,3,1
1601576681,1,1
1601580503,1,6
1601582702,0,2
1601584627,1,2
1601586500,1,2
1601588421,0,3
1601590339,2,3
1601592258,3,3
1601594199,1,1
1601596099,1,2
1601598039,2,0
1601599952,1,2
1601601863,1,3
1601603861,0,3
1601605725,1,2
1601607937,3,4
1601609831,0,1
1601611807,0,4
1601613622,0,4
1601615562,3,3
1601617456,0,1
1601619382,3,1
1601621348,3,1
1601623240,1,1
1601625138,3,7
1601627108,2,3
1601629060,1,3
1601631158,0,2
1601633188,3,2
1601634990,3,0
1601636995,1,1
1601638826,0,2
1601640751,0,3
1601642668,1,4
1601644585,0,4
1601646544,1,1
1601648435,2,10
1601650368,2,1
1601652298,8,5
1601654236,2,1
1601656123,0,2
1601658401,1,3
1601660468,2,2
1601662380,1,1
1601664351,3,1
1601666209,0,1
1601670098,1,0
1601671973,0,2
1601673891,1,0
1601677719,2,4
1601679985,2,2
1601681833,3,1
1601683943,0,2
1601685892,2,1
1601687807,1,1
1601691643,0,1
1601693662,1,1
1601695486,1,2
1601697378,3,0
1601699300,3,0
1601701422,1,3
1601703406,5,0
1601705303,1,1
1601707220,3,4
1601709177,1,2
1601711075,2,3
1601712978,7,2
1601714923,1,1
1601716819,3,0
1601718741,0,3
1601720684,1,3
1601722598,3,1
1601724512,1,0
1601726456,1,0
1601730192,0,1
1601732221,5,1
1601734106,3,0
1601736020,0,4
1601737959,3,6
1601739861,2,4
1601743717,4,1
1601745613,1,0
1601747541,1,2
1601749480,2,4
1601753294,2,0
1601755267,1,0
1601757144,0,1
1601761004,0,1
1601762900,2,0
1601764830,0,3
1601766761,1,3
1601768660,0,1
1601770575,2,0
1601772517,0,2
1601774415,0,1
1601778284,2,0
1601780186,1,1
1601782010,2,1
1601784156,0,3
1601786234,0,3
1601788121,1,4
1601790038,1,2
1601791983,0,1
1601793888,0,3
1601795815,1,1
1601797740,0,4
1601799628,1,6
1601801562,1,1
1601803524,1,2
1601805410,2,0
1601807303,2,2
1601809399,1,3
1601811399,0,1
