DateTime,AddedIPs,RemovedIPs
1601271912,2,1
1601275718,0,4
1601279562,1,0
1601281465,1,1
1601283413,0,1
1601287529,1,0
1601289414,1,2
1601295191,0,2
1601297084,0,3
1601300993,0,2
1601302852,1,1
1601304790,0,1
1601308634,0,1
1601310544,1,0
1601312613,1,1
1601314572,0,1
1601316548,0,2
1601318419,3,0
1601322303,1,2
1601324176,0,1
1601326343,3,2
1601328276,2,1
1601330255,0,3
1601332120,1,1
1601334322,1,2
1601336203,1,0
1601338394,5,4
1601340271,4,1
1601342179,2,1
1601344130,2,2
1601346025,0,1
1601347945,0,1
1601349929,1,0
1601351821,1,0
1601353715,1,0
1601357803,2,0
1601359728,2,2
1601361633,3,0
1601363594,1,0
1601365464,1,0
1601367452,1,1
1601369391,1,1
1601373172,0,1
1601375145,1,0
1601381082,1,1
1601383012,3,0
1601384919,11,1
1601388782,0,2
1601390669,2,0
1601392600,0,1
1601394569,1,0
1601396506,2,0
1601398356,0,2
1601400343,1,0
1601402211,1,1
1601404486,2,4
1601406330,1,1
1601408215,2,1
1601410137,2,0
1601412023,1,1
1601413976,5,1
1601415913,2,1
1601418037,5,2
1601419939,1,1
1601421889,3,1
1601423809,3,4
1601425724,2,0
1601428047,1,4
1601430009,5,2
1601431960,2,0
1601433876,1,1
1601436017,1,0
1601440126,3,2
1601442227,1,0
1601444171,1,3
1601446376,0,1
1601448267,2,3
1601450208,0,1
1601452152,2,1
1601454126,1,0
1601455963,1,1
1601459811,1,1
1601464584,4,1
1601466499,2,0
1601470343,1,12
1601472333,1,3
1601474205,1,0
1601476100,1,1
1601478334,1,1
1601484021,1,0
1601486024,3,2
1601488017,2,1
1601490034,1,3
1601491942,2,0
1601493864,0,1
1601495819,0,1
1601497701,0,1
1601499849,2,5
1601501820,3,3
1601503694,1,3
1601505620,1,3
1601507562,1,2
1601509455,1,2
1601511432,4,2
1601513346,3,1
1601515369,0,2
1601517380,1,1
1601519299,0,3
1601521426,3,1
1601523407,1,3
1601525580,1,4
1601527490,1,1
1601529414,1,0
1601531861,1,0
1601533846,0,2
1601535965,1,0
