DateTime,Entries,UniqueIPs
1601271912,70,70
1601275718,66,66
1601279562,67,67
1601281465,67,67
1601283413,66,66
1601287529,67,67
1601289414,66,66
1601295191,64,64
1601297084,61,61
1601300993,59,59
1601302852,59,59
1601304790,58,58
1601308634,57,57
1601310544,58,58
1601312613,58,58
1601314572,57,57
1601316548,55,55
1601318419,58,58
1601322303,57,57
1601324176,56,56
1601326343,57,57
1601328276,58,58
1601330255,55,55
1601332120,55,55
1601334322,54,54
1601336203,55,55
1601338394,56,56
1601340271,59,59
1601342179,60,60
1601344130,60,60
1601346025,59,59
1601347945,58,58
1601349929,59,59
1601351821,60,60
1601353715,61,61
1601357803,63,63
1601359728,63,63
1601361633,66,66
1601363594,67,67
1601365464,68,68
1601367452,68,68
1601369391,68,68
1601373172,67,67
1601375145,68,68
1601381082,68,68
1601383012,71,71
1601384919,81,81
1601388782,79,79
1601390669,81,81
1601392600,80,80
1601394569,81,81
1601396506,83,83
1601398356,81,81
1601400343,82,82
1601402211,82,82
1601404486,80,80
1601406330,80,80
1601408215,81,81
1601410137,83,83
1601412023,83,83
1601413976,87,87
1601415913,88,88
1601418037,91,91
1601419939,91,91
1601421889,93,93
1601423809,92,92
1601425724,94,94
1601428047,91,91
1601430009,94,94
1601431960,96,96
1601433876,96,96
1601436017,97,97
1601440126,98,98
1601442227,99,99
1601444171,97,97
1601446376,96,96
1601448267,95,95
1601450208,94,94
1601452152,95,95
1601454126,96,96
1601455963,96,96
1601459811,96,96
1601464584,99,99
1601466499,101,101
1601470343,90,90
1601472333,88,88
1601474205,89,89
1601476100,89,89
1601478334,89,89
1601484021,90,90
1601486024,91,91
1601488017,92,92
1601490034,90,90
1601491942,92,92
1601493864,91,91
1601495819,90,90
1601497701,89,89
1601499849,86,86
1601501820,86,86
1601503694,84,84
1601505620,82,82
1601507562,81,81
1601509455,80,80
1601511432,82,82
1601513346,84,84
1601515369,82,82
1601517380,82,82
1601519299,79,79
1601521426,81,81
1601523407,79,79
1601525580,76,76
1601527490,76,76
1601529414,77,77
1601531861,78,78
1601533846,76,76
1601535965,77,77
1601539921,79,79
1601541853,79,79
1601545700,80,80
1601547611,79,79
1601549442,80,80
1601551510,78,78
1601553424,74,74
1601555297,76,76
1601557467,74,74
1601559379,73,73
1601561317,75,75
1601563221,76,76
1601565131,80,80
1601567079,81,81
1601569002,86,86
1601570925,86,86
1601572842,85,85
1601575696,84,84
1601577612,84,84
1601579563,85,85
1601581477,85,85
1601585325,85,85
1601587226,83,83
1601589196,79,79
1601593002,78,78
1601594920,79,79
1601597056,77,77
1601598971,73,73
1601600937,73,73
1601602874,75,75
1601604791,75,75
1601606723,72,72
1601608605,71,71
1601610503,70,70
1601612684,70,70
1601616498,70,70
1601618730,68,68
