DateTime,AddedIPs,RemovedIPs
1601522728,43,18
1601523269,1,9
1601525393,12,17
1601526882,2,11
1601528214,5,3
1601529525,10,105
1601530480,9,107
1601534072,72,39
1601536595,24,51
1601537680,10,15
1601540729,30,21
1601541281,2,9
1601542393,6,5
1601543975,10,9
1601544882,5,7
1601546069,11,9
1601547869,6,5
1601549425,9,17
1601550835,113,11
1601552066,6,11
1601553278,9,8
1601555064,9,10
1601555669,3,16
1601556852,11,4
1601558067,7,15
1601559311,4,18
1601560546,7,8
1601561852,4,29
1601563826,4,98
1601565273,7,8
1601566477,9,62
1601567977,6,57
1601569110,125,63
1601571037,10,90
1601573125,51,15
1601574234,9,4
1601576246,33,5
1601577269,8,12
1601578721,6,60
1601580339,15,62
1601580870,2,34
1601583340,86,29
1601584480,12,75
1601586056,16,100
1601588075,39,44
1601591668,41,25
1601593386,4,8
1601595273,6,14
1601596393,6,1
1601598349,7,4
1601599827,7,8
1601602478,9,106
1601605530,17,11
1601606082,1,6
1601607890,14,11
1601609674,5,12
1601613286,18,12
1601615162,14,184
1601616879,5,105
1601620465,12,25
1601622437,11,14
1601624071,9,19
1601626001,12,6
1601627668,9,6
1601629680,10,5
1601632243,12,13
1601634346,16,15
1601635830,5,11
1601636932,7,8
1601638485,5,80
1601642082,18,146
1601643211,5,5
1601644515,6,4
1601645847,2,11
1601648294,52,205
1601650236,10,80
1601651422,33,25
1601653238,9,79
1601656464,54,200
1601657878,39,8
1601659477,119,86
1601660075,3,18
1601662035,188,23
1601663564,4,33
1601664842,5,14
1601666726,165,20
1601668082,5,15
1601669661,107,24
1601671827,10,17
1601673111,10,30
1601674463,5,7
1601676622,11,23
1601677838,6,11
1601678944,4,1
1601680353,4,23
1601681679,3,15
1601684488,8,62
1601685269,3,15
1601687599,27,34
1601688880,4,20
1601692477,33,54
1601694855,35,18
1601696065,32,6
1601697192,9,2
1601699675,7,17
1601701147,5,49
1601702477,7,11
1601703270,2,16
1601704504,10,4
1601706333,29,19
1601707840,7,21
1601709272,28,21
1601711257,15,21
1601712874,23,15
1601715385,16,18
1601716542,10,12
1601717665,1,6
1601720724,17,84
1601722243,3,57
1601723841,16,20
1601724871,13,7
1601727078,52,14
1601728652,32,14
1601731086,22,19
1601732080,8,9
1601734328,18,13
1601735666,12,15
1601738346,9,16
1601739788,8,68
1601742328,25,105
1601742870,2,51
1601744115,13,8
1601745592,48,35
1601746473,9,4
1601748231,106,18
1601750074,11,15
1601752841,91,30
1601753670,1,58
1601756734,80,19
1601757941,3,46
1601760086,11,22
1601761834,8,18
1601763806,107,21
1601764479,1,12
1601767338,6,12
1601768074,0,10
1601770696,8,11
1601771676,2,9
1601774597,70,19
1601775274,2,14
1601778866,12,35
1601782470,166,27
1601784364,4,22
1601786077,1,16
1601789025,4,23
1601789666,2,11
1601791499,124,15
1601793276,8,14
1601794489,2,7
1601796324,46,12
1601797832,3,18
1601799931,54,21
1601801435,3,15
1601804074,42,28
1601806083,52,12
1601807463,3,12
1601808627,10,4
1601810730,46,12
1601811275,4,12
1601814880,41,23
1601818463,53,53
1601819616,10,10
1601821442,53,11
1601822083,5,26
1601823569,49,16
1601825083,2,12
1601826634,9,49
1601829279,38,145
1601831715,7,96
1601833060,8,88
1601835809,63,78
1601837110,2,130
1601839515,45,115
1601840062,4,31
1601841855,34,9
1601843676,15,21
1601847280,59,18
1601848903,53,12
1601850865,18,20
1601853579,9,15
1601854480,9,5
1601857532,15,10
1601858076,1,14
1601860465,19,13
1601861675,9,10
1601863958,26,29
1601865265,5,39
1601868879,30,23
1601872488,34,15
1601876076,32,28
1601878510,21,15
1601879675,10,11
1601881708,29,13
1601882864,13,1
1601884271,14,12
1601885835,13,12
1601886867,11,6
1601888377,11,12
1601889927,13,2
1601890470,1,12
1601894082,34,19
1601896763,30,27
1601898281,8,33
1601899611,8,31
1601901281,13,11
1601904875,636,30
1601907052,31,27
1601908480,18,11
1601909590,3,4
1601910752,5,30
1601912069,5,11
1601915675,29,54
1601918730,119,55
1601920229,9,29
1601922865,36,70
1601926478,53,65
1601928420,35,11
1601930086,8,18
1601933665,17,79
1601936157,80,25
1601937263,4,10
1601940881,15,19
1601943052,15,20
1601944479,3,36
1601946276,10,10
1601948073,6,8
1601951093,25,8
1601953045,17,108
1601954734,48,2
1601955270,54,7
1601958075,113,8
