DateTime,Entries,UniqueIPs
1601512489,3669,3669
1601513739,3675,3675
1601515372,3744,3744
1601516089,3742,3742
1601518283,3771,3771
1601519994,3722,3722
1601522743,3749,3749
1601523284,3741,3741
1601525446,3736,3736
1601526898,3727,3727
1601528236,3728,3728
1601529552,3633,3633
1601530494,3535,3535
1601534089,3567,3567
1601536618,3542,3542
1601537694,3537,3537
1601540745,3545,3545
1601541299,3539,3539
1601542423,3539,3539
1601544003,3541,3541
1601544899,3539,3539
1601546088,3543,3543
1601547883,3543,3543
1601549442,3535,3535
1601550871,3638,3638
1601552080,3632,3632
1601553293,3630,3630
1601555076,3628,3628
1601555686,3614,3614
1601556869,3621,3621
1601558090,3612,3612
1601559327,3596,3596
1601560563,3596,3596
1601561875,3571,3571
1601563840,3477,3477
1601565287,3476,3476
1601566499,3424,3424
1601567993,3373,3373
1601569132,3434,3434
1601571051,3354,3354
1601573141,3389,3389
1601574251,3393,3393
1601576262,3420,3420
1601577284,3415,3415
1601578764,3361,3361
1601580353,3314,3314
1601580887,3282,3282
1601583358,3338,3338
1601584496,3273,3273
1601586104,3195,3195
1601588091,3184,3184
1601591690,3198,3198
1601593415,3194,3194
1601595290,3186,3186
1601596417,3191,3191
1601598390,3194,3194
1601599842,3191,3191
1601602494,3094,3094
1601605549,3100,3100
1601606097,3095,3095
1601607928,3097,3097
1601609693,3090,3090
1601615197,2921,2921
1601616895,2821,2821
1601620484,2807,2807
1601622449,2804,2804
1601624089,2794,2794
1601626018,2800,2800
1601627685,2803,2803
1601629704,2808,2808
1601632261,2806,2806
1601634364,2809,2809
1601635848,2803,2803
1601636958,2803,2803
1601638501,2728,2728
1601642097,2600,2600
1601643226,2600,2600
1601644540,2602,2602
1601645861,2594,2594
1601648317,2441,2441
1601650251,2371,2371
1601651442,2378,2378
1601653252,2308,2308
1601656479,2163,2163
1601657935,2124,2124
1601659504,2226,2226
1601660088,2211,2211
1601662054,2378,2378
1601663587,2348,2348
1601664864,2339,2339
1601666739,2483,2483
1601668106,2473,2473
1601669680,2557,2557
1601671843,2550,2550
1601673124,2530,2530
1601674478,2528,2528
1601676653,2515,2515
1601677873,2510,2510
1601678981,2512,2512
1601680366,2493,2493
1601681693,2480,2480
1601684504,2425,2425
1601685285,2413,2413
1601687617,2406,2406
1601688897,2391,2391
1601692493,2369,2369
1601694885,2386,2386
1601696081,2410,2410
1601697214,2420,2420
1601699689,2408,2408
1601701172,2365,2365
1601702492,2361,2361
1601703287,2347,2347
1601704525,2353,2353
1601706346,2364,2364
1601707854,2349,2349
1601709298,2356,2356
1601711275,2350,2350
1601712905,2358,2358
1601715402,2356,2356
1601716559,2355,2355
1601717681,2350,2350
1601720739,2283,2283
1601722257,2229,2229
1601723858,2228,2228
1601724886,2236,2236
1601727094,2272,2272
1601728673,2292,2292
1601731119,2295,2295
1601732094,2292,2292
1601734342,2297,2297
1601735681,2295,2295
1601738364,2287,2287
1601739823,2226,2226
1601742341,2146,2146
1601742884,2097,2097
1601744129,2100,2100
1601745612,2113,2113
1601746487,2119,2119
1601748256,2206,2206
1601750088,2202,2202
1601752857,2264,2264
1601753684,2207,2207
1601756751,2267,2267
1601757957,2226,2226
1601760105,2214,2214
1601761847,2203,2203
1601763822,2289,2289
1601764494,2279,2279
1601767362,2273,2273
1601768087,2264,2264
1601770724,2261,2261
1601771694,2255,2255
1601774614,2306,2306
1601775288,2295,2295
1601778881,2273,2273
1601782490,2414,2414
1601784392,2397,2397
1601786097,2384,2384
1601789681,2360,2360
1601792080,2466,2466
1601793293,2463,2463
1601794504,2458,2458
1601796343,2492,2492
1601797847,2477,2477
1601799958,2511,2511
1601801460,2498,2498
1601804090,2513,2513
1601806108,2552,2552
1601807498,2544,2544
1601808641,2550,2550
1601810743,2583,2583
1601811290,2576,2576
1601814898,2594,2594
1601818478,2593,2593
1601819629,2593,2593
1601821470,2635,2635
1601822099,2614,2614
1601823581,2647,2647
1601825108,2637,2637
1601826649,2597,2597
1601829296,2493,2493
1601831736,2402,2402
1601833084,2324,2324
1601835822,2308,2308
1601837136,2182,2182
1601840077,2085,2085
1601841885,2109,2109
1601843694,2104,2104
1601847297,2144,2144
1601848958,2187,2187
1601850881,2185,2185
1601853602,2179,2179
1601854497,2184,2184
1601857547,2189,2189
1601858091,2176,2176
1601860498,2182,2182
1601861693,2182,2182
1601863986,2179,2179
1601865283,2145,2145
1601868898,2153,2153
1601875538,2182,2182
1601876097,2177,2177
1601878548,2185,2185
1601879694,2184,2184
1601881723,2199,2199
1601882879,2211,2211
1601884322,2214,2214
1601885859,2215,2215
1601886884,2219,2219
1601888398,2218,2218
1601889941,2229,2229
1601890485,2218,2218
1601894100,2234,2234
1601896782,2237,2237
1601898316,2214,2214
1601899627,2192,2192
1601901298,2193,2193
1601904899,2797,2797
1601907072,2802,2802
1601908504,2808,2808
1601909610,2806,2806
1601910779,2782,2782
1601912083,2776,2776
1601915692,2752,2752
1601918744,2820,2820
1601920245,2800,2800
1601922880,2766,2766
1601926494,2755,2755
1601928444,2779,2779
1601930104,2771,2771
1601933680,2707,2707
1601936193,2761,2761
1601937280,2754,2754
1601940898,2751,2751
1601943072,2746,2746
1601944497,2712,2712
1601946300,2713,2713
1601948087,2712,2712
1601951124,2727,2727
1601953066,2637,2637
1601954752,2685,2685
1601955292,2731,2731
1601958100,2835,2835
1601961946,2758,2758
1601962489,2744,2744
1601965548,2764,2764
1601966917,2728,2728
1601968155,2700,2700
1601969727,2697,2697
1601972153,2693,2693
1601973758,2673,2673
1601975244,2657,2657
1601976899,2638,2638
1601978387,2608,2608
1601979761,2611,2611
1601981446,2601,2601
1601984088,2800,2800
1601987685,2757,2757
1601989060,2764,2764
1601990751,2734,2734
1601991285,2728,2728
1601993207,2693,2693
1601994900,2696,2696
1601996102,2697,2697
1601997943,2668,2668
1601998485,2667,2667
1602000562,2674,2674
1602002086,2673,2673
1602003760,2638,2638
1602005683,2654,2654
1602006978,2660,2660
1602008740,2681,2681
1602009300,2685,2685
1602011583,2656,2656
1602012885,2650,2650
1602014840,2692,2692
1602016484,2669,2669
1602018652,2656,2656
1602020098,2652,2652
1602021407,2651,2651
1602023160,2675,2675
1602024646,2673,2673
1602026745,2705,2705
1602030344,2752,2752
1602030896,2739,2739
1602034498,2738,2738
1602037124,2743,2743
1602038101,2736,2736
1602041704,2734,2734
1602044437,2736,2736
1602045293,2718,2718
1602046624,2725,2725
1602048470,2723,2723
1602048894,2721,2721
1602051481,2726,2726
1602052481,2737,2737
1602053885,2756,2756
1602055555,2780,2780
1602056091,2774,2774
1602057957,2782,2782
1602059705,2786,2786
1602061837,2782,2782
1602063291,2788,2788
1602064775,2788,2788
1602066357,2813,2813
1602066888,2794,2794
1602068353,2811,2811
1602069920,2826,2826
1602070493,2821,2821
1602072687,2828,2828
1602074035,2822,2822
1602075418,2701,2701
1602077691,2367,2367
1602078996,2365,2365
1602080760,2369,2369
1602081281,2370,2370
1602083558,2387,2387
1602084704,2371,2371
1602084888,2375,2375
1602087531,2402,2402
1602088479,2314,2314
1602090275,2309,2309
1602091542,2321,2321
1602093039,2311,2311
1602095139,2313,2313
1602098276,2364,2364
1602099634,2385,2385
1602101212,2535,2535
1602102902,2531,2531
1602104012,2528,2528
1602105292,2510,2510
1602106882,2468,2468
1602109540,2529,2529
1602110094,2530,2530
1602111305,2541,2541
1602113146,2548,2548
1602113697,2536,2536
1602115908,2539,2539
1602118251,2538,2538
1602120881,2516,2516
1602123947,2510,2510
1602125444,2470,2470
1602128084,2361,2361
1602130957,2378,2378
1602132415,2428,2428
1602135301,2447,2447
1602136643,2458,2458
1602138188,2461,2461
1602138891,2459,2459
1602142482,2445,2445
1602145549,2461,2461
1602147052,2467,2467
1602148883,2467,2467
1602150174,2467,2467
1602152756,2428,2428
1602153300,2286,2286
1602155726,2300,2300
1602156946,2300,2300
1602158357,2299,2299
1602159942,2301,2301
1602160487,2302,2302
1602163559,2471,2471
1602164673,2475,2475
1602167698,2480,2480
1602171294,2485,2485
1602172436,2492,2492
1602174895,2474,2474
1602176128,2480,2480
1602177943,2481,2481
1602179207,2420,2420
1602181560,2415,2415
1602183220,2414,2414
1602184849,2400,2400
1602186484,2359,2359
1602187781,2349,2349
1602189291,2355,2355
1602190779,2365,2365
1602192026,2375,2375
1602192901,2359,2359
1602194153,2371,2371
1602195322,2374,2374
1602196492,2367,2367
1602197731,2371,2371
1602199549,2374,2374
1602200099,2351,2351
1602203704,2348,2348
1602206763,2343,2343
1602208166,2344,2344
1602210892,2308,2308
1602213794,2339,2339
1602214500,2328,2328
1602217565,2342,2342
1602218919,2339,2339
1602221688,2314,2314
1602222955,2287,2287
1602224596,2277,2277
1602225314,2248,2248
1602228906,2239,2239
1602231458,2261,2261
1602232503,2256,2256
1602236094,2257,2257
1602238597,2255,2255
1602239681,2239,2239
1602242745,2236,2236
1602244139,2243,2243
1602246346,2233,2233
1602247666,2242,2242
1602250490,2257,2257
1602251801,2258,2258
1602253185,2259,2259
1602254092,2251,2251
1602255337,2257,2257
1602257148,2260,2260
1602257693,2225,2225
1602261291,2213,2213
1602264887,2254,2254
1602266017,2264,2264
1602267559,2269,2269
1602268496,2184,2184
1602272093,2018,2018
1602273325,2024,2024
1602275148,2049,2049
1602275686,2037,2037
1602279289,1998,1998
1602280498,1997,1997
1602282167,2078,2078
1602282901,2081,2081
1602284811,2091,2091
1602286505,2097,2097
1602287781,2097,2097
1602289548,2098,2098
1602290098,2088,2088
1602293697,2104,2104
1602295030,2112,2112
1602296751,2105,2105
1602297297,2099,2099
1602299043,2097,2097
1602300899,2084,2084
1602302281,2082,2082
1602303564,2030,2030
1602307546,2002,2002
1602308087,1997,1997
1602309571,1992,1992
1602311140,2084,2084
1602311696,2069,2069
1602312903,2077,2077
1602315291,2064,2064
1602316894,2086,2086
1602318340,2165,2165
1602319729,2161,2161
1602321349,2181,2181
1602322482,2173,2173
1602324183,2184,2184
1602325543,2251,2251
1602327048,2243,2243
1602329145,2358,2358
1602330640,2362,2362
1602332741,2312,2312
1602334238,2224,2224
1602336340,2340,2340
1602337535,2344,2344
1602338698,2439,2439
1602339801,2429,2429
1602340479,2425,2425
1602342242,2421,2421
1602344096,2441,2441
1602345408,2450,2450
1602347693,3175,3175
1602349385,3965,3965
1602351298,3969,3969
1602353154,3973,3973
1602354340,3979,3979
1602355846,3975,3975
1602357452,3955,3955
1602359456,3952,3952
1602362096,3961,3961
1602364260,3951,3951
1602365697,3944,3944
1602367618,3946,3946
1602369291,3945,3945
1602372897,3935,3935
1602374864,3934,3934
1602377445,3927,3927
1602380098,3934,3934
1602382118,3944,3944
1602384658,3936,3936
1602387312,3929,3929
1602388430,3934,3934
1602390899,3912,3912
1602394485,3918,3918
1602396269,3935,3935
1602397542,3945,3945
1602399042,3932,3932
1602400508,3910,3910
1602401686,3897,3897
1602403799,3945,3945
1602405292,3943,3943
1602408878,3947,3947
1602410113,3957,3957
