DateTime,Entries,UniqueIPs
1601519986,1447,1447
1601522734,1452,1452
1601523275,1443,1443
1601525406,1454,1454
1601526888,1455,1455
1601528220,1452,1452
1601529536,1459,1459
1601530486,1447,1447
1601534079,1454,1454
1601536603,1463,1463
1601537685,1466,1466
1601540735,1483,1483
1601541288,1467,1467
1601542405,1470,1470
1601543988,1465,1465
1601544888,1466,1466
1601546078,1474,1474
1601547874,1486,1486
1601549430,1486,1486
1601550842,1460,1460
1601552072,1457,1457
1601553284,1462,1462
1601555070,1455,1455
1601555675,1449,1449
1601556859,1450,1450
1601558077,1453,1453
1601559316,1424,1424
1601560552,1436,1436
1601561858,1430,1430
1601563831,1445,1445
1601565279,1430,1430
1601566489,1427,1427
1601567984,1415,1415
1601569122,1399,1399
1601571043,1398,1398
1601573132,1381,1381
1601574240,1372,1372
1601576252,1362,1362
1601577275,1350,1350
1601578731,1342,1342
1601580344,1355,1355
1601580877,1345,1345
1601583348,1337,1337
1601584487,1321,1321
1601586085,1323,1323
1601588080,1319,1319
1601591676,1319,1319
1601593398,1319,1319
1601595280,1327,1327
1601596401,1328,1328
1601598366,1331,1331
1601599833,1330,1330
1601602483,1327,1327
1601605539,1324,1324
1601606088,1316,1316
1601607899,1319,1319
1601609681,1319,1319
1601613293,1314,1314
1601615175,1306,1306
1601616886,1304,1304
1601620474,1307,1307
1601622442,1306,1306
1601624078,1307,1307
1601626008,1310,1310
1601627673,1312,1312
1601629687,1319,1319
1601632249,1324,1324
1601634352,1332,1332
1601635836,1334,1334
1601636940,1335,1335
1601638491,1335,1335
1601642089,1339,1339
1601643216,1337,1337
1601644528,1340,1340
1601645853,1330,1330
1601648299,1314,1314
1601650243,1311,1311
1601651431,1300,1300
1601653244,1298,1298
1601656470,1266,1266
1601657885,1264,1264
1601659488,1262,1262
1601660080,1252,1252
1601662044,1222,1222
1601663579,1220,1220
1601664848,1220,1220
1601666732,1210,1210
1601668089,1213,1213
1601669670,1209,1209
1601671832,1204,1204
1601673117,1196,1196
1601674469,1201,1201
1601676640,1198,1198
1601677853,1189,1189
1601678958,1192,1192
1601680359,1190,1190
1601681685,1187,1187
1601684493,1178,1178
1601685276,1171,1171
1601687607,1152,1152
1601688888,1158,1158
1601692482,1142,1142
1601694869,1141,1141
1601696070,1132,1132
1601697197,1132,1132
1601699680,1126,1126
1601701155,1122,1122
1601702484,1130,1130
1601703278,1123,1123
1601704514,1121,1121
1601706338,1110,1110
1601707846,1109,1109
1601709282,1097,1097
1601711266,1099,1099
1601712886,1091,1091
1601715393,1090,1090
1601716547,1078,1078
1601717673,1077,1077
1601720730,1080,1080
1601722249,1075,1075
1601723849,1074,1074
1601724876,1070,1070
1601727086,1057,1057
1601728663,1047,1047
1601731098,1047,1047
1601732085,1039,1039
1601734333,1035,1035
1601735673,1032,1032
1601738353,1036,1036
1601739809,1038,1038
1601742333,1044,1044
1601742876,1035,1035
1601744122,1031,1031
1601745598,1017,1017
1601746479,1020,1020
1601748237,1019,1019
1601750079,1035,1035
1601752847,1035,1035
1601753676,1030,1030
1601756740,1037,1037
1601757947,1040,1040
1601760097,1059,1059
1601761839,1071,1071
1601763813,1084,1084
1601764485,1077,1077
1601767347,1102,1102
1601768080,1097,1097
1601770707,1105,1105
1601771683,1103,1103
1601774605,1194,1194
1601775279,1200,1200
1601778872,1229,1229
1601782476,1225,1225
1601784375,1230,1230
1601786085,1231,1231
1601789032,1260,1260
1601789673,1262,1262
1601792073,1253,1253
1601793282,1245,1245
1601794496,1249,1249
1601796330,1257,1257
1601797840,1254,1254
1601799942,1251,1251
1601801448,1246,1246
1601804082,1235,1235
1601806091,1241,1241
1601807477,1233,1233
1601808633,1245,1245
