DateTime,AddedIPs,RemovedIPs
1600933512,0,1
1600940082,0,2
1600943152,0,4
1600944294,0,4
1600946742,2,2
1600948244,0,4
1600949791,0,3
1600953193,2,1
1600954488,0,5
1600957061,5,0
1600958072,0,1
1600959220,0,1
1600960897,1,0
1600964310,0,1
1600967834,0,2
1600968873,1,0
1600971278,0,1
1600972473,0,2
1600977049,1,1
1600978842,0,1
1600982242,4,2
1600983279,1,1
1600991441,0,1
1600993300,2,2
1600994078,0,1
1600995476,2,0
1601000558,0,1
1601001285,0,1
1601007560,6,0
1601008701,0,1
1601012074,0,1
1601013780,1,0
1601015681,0,1
1601016921,0,1
1601025944,1,1
1601027090,0,2
1601030076,1,0
1601033141,1,0
1601037315,1,0
1601040879,0,2
1601046871,0,2
1601054352,1,0
1601058876,2,0
1601062472,1,1
1601073281,0,1
1601076877,0,1
1601079940,1,0
1601087676,0,2
1601089135,1,2
1601094886,1,0
1601102069,0,1
1601105136,1,1
1601108032,0,1
1601112340,0,2
1601112879,0,4
1601114568,1,0
1601117437,0,1
1601120083,1,1
1601121200,1,0
1601122909,0,1
1601126736,1,1
1601127276,0,1
1601130858,0,1
1601133458,1,1
1601137315,0,1
1601138079,0,1
1601145278,1,2
1601148877,1,1
1601152480,0,1
1601156072,0,1
1601164242,2,0
1601166123,0,1
1601166876,0,6
1601168667,1,0
1601173536,0,4
1601175043,0,6
1601177122,1,1
1601178663,1,0
1601181281,0,3
1601186634,0,1
1601188476,1,1
1601193069,1,1
1601196678,1,0
1601198640,1,1
1601199276,1,0
1601217282,10,2
1601219795,3,0
1601220881,1,0
1601222517,6,0
1601224481,2,0
1601225778,2,0
1601227298,2,1
1601230752,7,0
1601231676,4,0
1601233724,17,0
1601235276,9,0
1601236785,2,0
1601238345,1,0
1601241936,8,1
1601243434,1,0
1601246085,2,0
1601252040,2,1
1601253332,1,0
1601256879,3,0
1601260484,1,0
1601267682,0,1
1601271088,1,0
1601273867,1,0
1601278472,1,0
1601281138,1,0
1601285711,0,1
1601289279,1,0
1601291808,1,1
1601293476,0,1
1601295195,1,0
1601299019,0,1
1601303144,88,0
1601305861,0,1
1601308779,1,0
1601309904,1,0
1601314477,0,1
1601318379,0,1
1601321862,0,2
1601323716,1,0
1601328879,1,1
1601332487,0,1
1601338484,2,0
1601341174,0,1
1601345202,2,0
1601346343,1,0
1601350883,0,1
1601354835,0,1
1601361759,1,0
1601363426,1,0
1601364889,1,0
1601368481,0,1
1601385945,1,1
1601387452,0,1
1601389071,0,1
1601396498,1,0
1601397282,0,2
1601400878,0,3
1601406256,0,12
1601408078,1,1
1601411685,0,1
1601413058,1,0
1601416241,0,1
1601417440,0,1
1601418895,0,1
1601422487,1,0
1601424988,0,1
1601426092,1,1
1601429142,1,1
1601429677,1,0
1601436884,0,1
1601438180,0,1
1601439953,0,1
1601440490,0,1
1601442554,1,0
1601450135,2,0
1601451284,0,1
1601454881,0,1
1601458482,1,1
1601461522,0,1
1601462930,1,0
1601464171,0,2
1601465681,0,1
1601467802,0,1
1601471392,1,0
1601472880,0,124
1601475103,0,1
1601477385,0,1
1601478894,2,1
1601481464,2,0
1601483137,2,1
1601484571,1,1
1601488241,1,1
1601489358,1,0
1601493231,1,0
1601494627,0,1
1601495998,0,2
1601497543,1,0
1601498086,1,0
1601505293,2,0
1601506487,1,0
1601508113,1,0
1601508882,1,0
1601511347,2,1
1601515369,0,2
1601518277,0,1
1601522739,0,2
1601525439,0,1
1601526894,0,1
1601529545,0,1
1601534085,0,3
1601536607,1,0
1601537689,0,1
1601542415,1,0
1601543994,0,2
1601544893,0,1
1601550868,1,0
1601553288,1,0
1601556865,1,1
1601559322,0,1
1601561871,1,0
1601563836,1,0
1601565283,0,1
1601566494,1,0
1601567989,0,1
1601571048,1,2
1601573137,1,3
1601576257,2,0
1601580349,1,0
1601586093,2,0
1601591682,0,1
1601595286,1,1
1601596412,0,1
1601599838,1,0
1601605544,2,0
1601609687,1,59
1601613298,0,2
1601615194,3,1
1601622446,0,1
1601629699,1,0
1601635843,1,1
1601645857,0,3
1601650247,0,1
1601651438,0,3
1601653249,0,2
1601656474,2,2
1601657929,0,2
1601662051,1,0
1601664861,2,0
1601668102,1,1
1601669675,0,1
1601676645,0,2
1601685281,0,1
1601687613,1,1
1601696076,1,1
1601699684,0,1
1601702489,1,0
1601703283,1,0
1601706342,0,1
1601707850,0,1
1601712895,1,0
1601716553,3,0
1601717678,1,0
1601720734,1,2
1601722254,2,1
1601724882,1,0
1601728669,1,0
1601734337,0,3
1601738361,2,0
1601739815,0,1
1601742337,0,2
1601744126,1,0
1601745604,0,4
1601748249,1,0
1601750084,0,1
1601752854,11,1
1601753680,15,0
1601756744,8,0
1601767358,1,0
1601770720,0,1
1601774611,1,0
1601778877,1,0
1601784384,1,0
1601789036,1,0
1601792077,0,1
1601796337,1,1
1601799952,0,2
1601804086,1,2
1601806105,2,0
1601807492,0,2
1601808637,1,0
1601810739,1,0
1601811286,0,1
1601814891,1,1
1601818473,14,1
1601819625,1,0
1601821461,1,0
1601825100,2,1
1601826645,3,1
1601829289,6,0
1601831732,4,0
1601833079,1,0
1601835818,0,2
1601837131,4,0
1601840073,8,1
1601841876,2,0
1601843689,2,0
1601847291,2,0
1601848928,2,0
1601850878,1,1
1601853593,1,0
1601857542,2,0
1601858086,1,0
1601860491,1,1
1601861687,1,0
1601863970,1,1
1601865277,0,1
1601868891,2,0
1601872500,1,1
1601876091,3,0
1601879687,2,0
1601882874,1,0
1601884316,3,0
1601885855,2,0
1601886879,0,1
1601888390,0,2
1601894095,0,1
1601898309,1,1
1601899622,1,0
1601901294,1,0
1601904893,1,1
1601907063,1,0
1601908495,2,1
1601909605,1,0
1601910774,0,1
1601915687,0,1
1601918740,2,1
1601922877,2,1
1601926491,1,1
1601928440,1,0
1601930099,0,1
1601936185,1,0
1601937276,1,1
1601940893,0,2
1601943064,0,1
1601944490,2,1
1601948084,0,1
1601954748,1,0
1601955285,0,2
1601958898,0,1
1601962485,1,1
1601963991,0,1
1601969722,0,1
1601971499,2,1
1601976316,1,0
1601976893,1,2
1601978382,0,2
1601979758,1,0
1601981442,1,1
1601984082,1,1
1601987681,0,3
1601989053,0,1
1601991280,0,1
1601993197,2,1
1601994896,0,2
1601996094,1,1
1601997938,1,0
1601998480,1,2
1602000558,8,1
1602002082,1,0
1602003740,0,1
1602005678,2,0
1602006962,3,0
1602008736,2,0
1602011575,1,1
1602012880,0,1
1602014823,1,0
1602018648,0,1
1602024641,4,0
1602026742,1,1
1602030340,3,2
1602034493,0,2
1602037119,9,1
1602038097,0,2
1602041699,0,1
1602044433,2,0
1602045286,0,1
1602048887,2,1
1602051475,0,1
1602052477,1,0
1602053880,1,0
1602055548,0,1
1602056083,0,1
1602057954,2,2
1602061832,0,1
1602063286,1,0
1602064769,0,1
1602066882,1,1
1602068350,0,1
1602069911,1,0
1602072680,2,0
1602074030,1,1
1602078992,2,0
1602080756,1,0
1602083555,8,1
1602087527,1,0
1602093034,1,0
1602098272,0,2
1602101196,0,1
1602102898,0,1
1602104006,1,0
1602105280,0,1
1602109536,1,0
1602110089,0,1
1602113142,1,0
1602113692,0,3
1602115903,1,0
1602118248,1,0
1602120876,1,1
1602123943,2,0
1602125440,1,1
1602128081,0,2
1602130948,2,2
1602132408,1,0
1602142477,0,2
1602145543,0,1
1602148875,0,2
1602152752,1,0
1602153292,1,0
1602155720,0,1
1602158348,1,0
1602159938,1,0
1602163555,2,0
1602164669,0,1
1602167691,0,1
1602171289,2,0
1602174891,3,1
1602176125,1,4
1602177937,0,1
1602179202,1,0
1602184845,0,1
1602186477,1,2
1602189286,0,3
1602192020,0,1
1602196486,0,4
1602199540,0,2
1602203697,0,1
1602206758,1,3
1602208156,1,1
1602210884,2,3
1602213787,1,1
1602214497,0,1
1602217561,0,1
1602218914,1,0
1602221682,3,2
1602222950,1,0
1602225305,2,1
1602228899,1,2
1602231451,0,1
1602236088,2,3
1602238591,0,1
1602239676,0,1
1602242741,1,0
1602244135,5,2
1602247631,1,0
1602250483,0,1
1602251796,1,1
1602257144,1,1
1602261285,0,1
1602264883,2,1
1602268491,0,2
1602272089,1,1
1602275681,1,0
1602279285,1,0
1602280494,1,0
1602282896,1,1
1602286501,1,1
1602287772,1,0
1602289543,4,1
1602290094,1,2
1602296745,0,1
1602297294,0,2
1602299039,0,3
1602300894,0,2
1602304499,0,2
1602308081,1,0
1602312872,1,0
1602319724,1,1
1602324171,3,0
1602327044,1,1
1602329141,1,0
1602330636,1,1
1602332737,1,1
1602336336,0,1
1602340475,2,0
1602347689,1,0
1602351294,0,1
1602353151,0,2
1602359453,1,0
1602362092,1,1
1602364256,0,1
1602365692,0,1
1602369285,0,1
1602372893,0,1
1602377442,1,0
1602380092,1,0
1602382113,0,1
1602384653,0,1
1602387303,0,4
1602390892,0,3
1602394479,1,11
1602396264,0,5
1602399038,14,2
1602403795,0,1
1602405287,0,1
1602408874,0,1
