DateTime,AddedIPs,RemovedIPs
1602050853,49,47
1602051574,52,52
1602052294,51,51
1602053014,48,55
1602053735,58,37
1602054454,53,49
1602055174,47,75
1602055894,42,64
1602056614,51,61
1602057334,46,55
1602058053,57,98
1602058774,73,133
1602059494,68,93
1602060214,57,67
1602060934,100,45
1602061654,78,43
1602062374,69,60
1602063094,55,43
1602063814,52,47
1602064534,38,46
1602065254,58,54
1602065973,51,50
1602066694,81,57
1602067414,61,43
1602068134,63,39
1602068854,51,49
1602069814,87,50
1602070534,56,58
1602071254,50,61
1602071974,51,81
1602072694,52,40
1602073414,59,49
1602074134,38,41
1602074854,62,44
1602075574,54,85
1602076294,60,102
1602077013,72,88
1602077733,62,53
1602078454,49,69
1602079174,93,59
1602079894,66,65
1602080614,56,48
1602081334,61,51
1602082054,64,77
1602082774,53,39
1602083494,106,83
1602084213,93,42
1602085174,113,62
1602085894,65,42
1602086614,55,46
1602087334,62,43
1602088055,64,49
1602088774,53,40
1602089494,59,47
1602090214,52,33
1602090934,67,36
1602091654,51,50
1602092375,81,52
1602093094,76,43
1602093814,79,55
1602094534,74,53
1602095254,55,41
1602095974,53,37
1602096694,51,46
1602097414,47,39
1602098134,54,37
1602098854,59,41
1602099574,54,40
1602100294,54,36
1602101014,62,45
1602101734,46,28
1602102453,128,41
1602103174,44,33
1602103894,60,37
1602104614,35,53
1602105574,66,77
1602106295,75,36
1602107014,51,34
1602107734,39,33
1602108455,53,38
1602109174,49,35
1602109894,35,44
1602110614,49,67
1602111334,39,31
1602112053,59,58
1602112773,57,41
1602113494,47,41
1602114214,49,41
1602114935,49,35
1602115653,63,46
1602116374,55,54
1602117095,55,58
1602117814,48,58
1602118534,59,51
1602119254,67,33
1602119974,61,42
1602120694,72,36
1602121414,51,39
1602122134,52,32
1602122853,52,45
1602123814,64,58
1602124534,63,84
1602125254,35,37
1602125974,133,38
1602126696,74,53
1602127414,47,53
1602128134,69,34
1602128854,72,50
1602129574,67,34
1602130294,61,55
1602131014,56,41
1602131734,58,47
1602132454,60,55
1602133174,46,31
1602133894,58,53
1602134614,60,43
1602135334,73,53
1602136055,68,51
1602136774,62,49
1602137494,44,46
1602138215,66,53
1602138936,89,58
1602139654,68,43
1602140374,79,56
1602141094,64,65
1602141814,78,62
1602142534,76,43
1602143254,60,48
1602143974,72,43
1602144694,75,61
1602145414,78,69
1602146135,83,55
1602146854,56,66
