DateTime,AddedIPs,RemovedIPs
1601341257,5,0
1601343140,7,0
1601345100,5,0
1601347025,5,0
1601348917,16,0
1601353702,13,0
1601355666,11,0
1601357540,18,0
1601359698,9,0
1601361620,29,0
1601364524,9,0
1601367387,16,0
1601369332,12,0
1601371221,10,0
1601373160,13,0
1601376035,13,0
1601378184,12,0
1601380124,7,0
1601382999,17,0
1601384909,10,0
1601386838,19,0
1601388772,11,0
1601390659,14,0
1601392582,10,0
1601394548,9,0
1601398347,13,0
1601400333,13,0
1601404478,30,0
1601406554,14,0
1601409417,14,0
1601411311,16,0
1601413231,17,0
1601415186,24,0
1601417085,11,0
1601419024,19,0
1601420970,12,0
1601424822,12,0
1601426668,10,0
1601428854,10,0
1601430760,12,0
1601432715,11,0
1601434568,17,0
1601438476,10,0
1601440367,7,0
1601444413,9,0
1601446367,20,0
1601448252,8,0
1601450179,9,0
1601452137,18,0
1601454087,16,0
1601455936,12,0
1601457863,11,0
1601459798,8,0
1601461707,14,0
1601463644,8,0
1601465579,26,0
1601467466,13,0
1601471371,6,0
1601473231,24,0
1601475146,5,0
1601477089,5,0
1601479002,13,0
1601480900,6,0
1601482860,13,0
1601484746,13,0
1601486698,10,0
1601488582,12,0
1601490522,18,0
1601493378,19,0
1601495324,14,0
1601497264,11,0
1601499204,12,0
1601501090,11,0
1601503052,10,0
1601504948,10,0
1601506843,14,0
1601508744,7,0
1601510922,9,0
1601512821,5,0
1601514764,8,0
1601516658,10,0
1601518830,13,0
1601520757,15,0
1601522716,9,0
1601524607,16,0
1601526502,6,0
1601528448,19,0
1601530336,15,0
1601532278,17,0
1601534202,14,0
1601536394,9,0
1601538259,10,0
1601540230,14,0
1601542142,15,0
1601544037,11,0
1601545966,13,0
1601547867,12,0
1601552677,11,0
1601554581,15,0
1601556503,8,0
1601558453,7,0
1601560339,6,0
1601562278,12,0
1601564211,9,0
1601566116,4,0
1601568039,7,0
1601569971,20,0
1601573063,10,0
1601575010,9,0
1601576905,13,0
1601578847,17,0
1601580763,18,0
1601582906,6,0
1601584823,25,0
1601586789,8,0
1601588692,12,0
1601590606,11,0
1601592508,20,0
1601594450,19,0
1601596358,9,0
1601598269,12,0
1601600256,7,0
1601602100,9,0
1601604071,15,0
1601605963,28,0
1601608149,19,0
1601610056,16,0
1601612197,10,0
1601614124,15,0
1601616029,14,0
1601617943,16,0
1601619876,12,0
1601621776,6,0
1601623939,11,0
1601625857,7,0
1601627818,18,0
