DateTime,AddedIPs,RemovedIPs
1601341257,46,41
1601343140,57,50
1601345100,55,55
1601347025,53,55
1601348917,50,49
1601353702,60,54
1601355666,56,59
1601357540,65,59
1601359698,52,63
1601361620,81,56
1601364524,55,79
1601367387,50,56
1601369332,46,47
1601371221,61,46
1601373160,49,57
1601376035,67,54
1601378184,61,67
1601380124,62,59
1601382999,65,61
1601384909,50,64
1601386838,60,54
1601388772,47,60
1601390659,48,48
1601392582,45,45
1601394548,32,47
1601398347,43,35
1601400333,41,38
1601404478,77,43
1601406554,60,77
1601409417,53,59
1601411311,60,54
1601413231,55,59
1601415186,65,57
1601417085,58,65
1601419024,67,58
1601420970,46,57
1601424822,51,55
1601426668,54,47
1601428854,55,58
1601430760,64,55
1601432715,58,63
1601434568,62,56
1601438476,61,65
1601440367,51,60
1601444413,46,45
1601446367,61,52
1601448252,30,61
1601450179,38,31
1601452137,61,38
1601454087,58,62
1601455936,58,58
1601457863,46,55
1601459798,45,45
1601461707,53,40
1601463644,44,58
1601465579,79,50
1601467466,45,77
1601471371,52,45
1601473231,67,50
1601475146,40,71
1601477089,34,37
1601479002,41,36
1601480900,38,39
1601482860,35,38
1601484746,41,36
1601486698,37,38
1601488582,50,38
1601490522,62,52
1601493378,60,59
1601495324,62,61
1601497264,48,63
1601499204,48,48
1601501090,58,49
1601503052,48,54
1601504948,53,51
1601506843,44,48
1601508744,54,48
1601510922,49,54
1601512821,51,48
1601514764,56,46
1601516658,52,59
1601518830,59,55
1601520757,52,60
1601522716,49,55
1601524607,65,48
1601526502,53,65
1601528448,56,51
1601530336,57,55
1601532278,57,59
1601534202,58,59
1601536394,32,58
1601538259,30,32
1601540230,54,28
1601542142,49,55
1601544037,47,48
1601545966,53,48
1601547867,48,51
1601552677,59,49
1601554581,58,57
1601556503,57,57
1601558453,47,58
1601560339,44,47
1601562278,45,45
1601564211,41,48
1601566116,40,41
1601568039,25,38
1601569971,64,27
1601573063,42,61
1601575010,37,36
1601576905,42,39
1601578847,46,42
1601580763,52,48
1601582906,48,53
1601584823,67,48
1601586789,49,66
1601588692,49,50
1601590606,49,50
1601592508,59,46
1601594450,52,58
1601596358,50,56
1601598269,56,49
1601600256,54,55
1601602100,52,49
1601604071,48,54
1601605963,61,53
1601608149,62,58
1601610056,61,64
1601612197,49,59
1601614124,74,51
1601616029,54,75
1601617943,49,52
1601619876,51,53
1601621776,52,51
1601623939,58,50
1601625857,42,53
1601627818,59,47
1601629732,50,58
1601631639,68,52
1601633544,51,68
1601637392,51,52
1601639304,61,51
1601641266,56,61
1601643142,47,53
1601645083,50,46
1601646977,52,51
1601648911,46,52
1601650852,33,50
1601652760,65,33
1601654684,35,64
1601656602,61,34
1601658533,36,62
1601660453,69,34
1601662361,58,69
1601668104,49,59
1601670080,42,45
1601671940,59,46
1601673873,52,59
1601675832,53,52
1601677705,68,53
1601679652,44,65
1601681556,61,49
1601683485,56,59
1601685391,57,53
1601688266,60,60
1601690206,52,57
1601692102,57,52
1601694033,53,59
1601696947,58,52
1601698815,60,55
1601700738,62,62
1601704589,46,63
1601706500,47,46
1601708457,56,47
1601710340,52,56
1601714204,50,50
1601716097,54,53
1601718039,51,56
1601719970,41,50
1601723793,52,40
1601725726,53,51
1601727656,53,53
1601729542,51,49
1601731487,51,56
1601733378,42,47
1601735298,37,43
1601737247,31,42
1601739146,55,32
1601741057,31,53
1601743002,57,32
1601744911,32,52
1601746822,47,36
1601748773,42,47
1601751646,42,42
1601753544,61,41
1601755489,45,58
1601757447,63,49
1601761237,58,62
1601763164,42,60
1601765065,60,41
1601766971,61,58
1601768931,61,60
1601770850,54,60
1601772745,59,55
1601774736,42,59
1601776611,48,44
1601778518,51,49
1601780442,50,46
1601784269,49,53
1601786223,70,51
1601788112,51,62
1601790030,58,57
1601791973,55,57
1601793877,40,55
1601795808,49,44
1601797730,55,48
1601799620,54,54
1601801555,40,56
1601803511,55,39
1601806365,51,54
1601808261,46,49
1601810183,55,44
1601814996,54,58
1601816904,55,54
1601818871,57,57
1601820771,54,57
1601822658,43,50
1601824590,53,48
1601829419,57,51
1601833244,60,57
1601835179,49,60
1601837055,48,49
1601838982,51,47
1601840924,42,50
1601843819,64,46
1601845707,48,63
1601847654,62,48
1601849572,58,57
1601851465,53,59
1601853378,55,56
