DateTime,AddedIPs,RemovedIPs
1601947827,2,0
1601948727,3,0
1601951426,5,0
1601952925,1,0
1601953824,5,0
1601955027,6,0
1601957425,5,0
1601957724,2,0
1601958628,3,0
1601959525,2,0
1601961024,2,0
1601961327,2,0
1601962227,3,0
1601963127,5,0
1601964623,1,0
1601965828,4,0
1601966724,2,0
1601967323,1,0
1601968223,1,0
1601968524,1,0
1601969426,5,0
1601970326,2,0
1601971824,1,0
1601973028,1,0
1601973927,2,0
1601974225,2,0
1601975125,0,1
1601975424,1,0
1601975728,5,0
1601976627,9,0
1601977526,4,0
1601979324,11,0
1601980229,4,0
1601981127,1,0
1601981428,2,0
1601982624,1,0
1601982929,1,0
1601983826,2,0
1601984729,1,0
1601986224,2,0
1601987430,4,0
1601988626,1,0
1601989824,1,0
1601990128,3,0
1601991026,4,0
1601991927,2,0
1601992224,21,0
1601992523,0,5
1601993125,0,1
1601993726,1,0
1601994025,0,2
1601994628,1,0
1601995524,3,0
1601997326,2,0
1601998227,2,0
1601999126,2,0
1601999425,3,0
1601999723,1,0
1602000924,4,0
1602001829,4,0
1602003027,10,0
1602003927,4,1
1602004225,29,0
1602004525,2,0
1602005428,2,0
1602006328,3,0
1602006923,1,0
1602009027,1,0
1602009927,3,0
1602011127,2,0
1602012629,4,0
1602014725,1,0
1602015326,1,0
1602016229,2,0
1602017129,1,0
1602018327,1,0
1602018624,22,0
1602018926,1,0
1602019827,8,0
1602020727,1,0
1602022225,12,0
1602022524,1,1
1602023428,4,0
1602024325,1,0
1602024624,1,0
1602025825,9,0
1602027028,6,0
1602029425,3,0
1602030325,0,4
1602030629,10,0
1602031527,1,0
1602033324,2,0
1602034227,7,0
1602035424,3,0
1602036926,2,0
1602037827,2,0
1602039024,2,0
1602039929,0,1
1602040224,1,0
1602041429,2,0
1602042327,1,0
1602043824,2,0
1602044423,1,0
1602045027,3,0
1602046224,1,0
1602047426,1,0
1602047726,1,0
1602048628,7,0
1602051025,1,0
1602051624,1,0
1602052228,3,0
1602053125,2,0
1602054625,2,0
1602055826,3,0
1602057026,4,0
1602058523,1,0
1602058825,1,1
1602059124,46,7
1602059427,50,0
