DateTime,AddedIPs,RemovedIPs
1601619876,15,19
1601620202,166,0
1601621776,13,20
1601623939,26,9
1601625857,17,14
1601627818,152,19
1601629732,112,14
1601631639,35,8
1601633544,19,15
1601634038,500,0
1601634602,202,0
1601637126,388,0
1601637392,8,12
1601639304,19,13
1601641266,15,14
1601641802,205,0
1601643142,16,12
1601645083,9,11
1601646977,16,6
1601648911,13,15
1601649901,439,0
1601650852,10,10
1601652760,27,8
1601653501,151,0
1601654684,13,6
1601656602,30,22
1601657102,167,0
1601658533,7,0
1601660453,34,6
1601660702,68,0
1601662361,22,10
1601664302,84,0
1601668104,12,47
1601670080,8,6
1601671940,104,27
1601673873,104,9
1601675832,16,8
1601677705,20,8
1601679652,82,21
1601681556,23,17
1601682255,34,0
1601682302,174,0
1601683485,13,8
1601685391,23,11
1601688266,14,9
1601690206,73,2655
1601692102,20,9
1601694033,144,27
1601694253,199,100
1601696947,7,36
1601697602,83,0
1601698815,24,23
1601700738,33,22
1601701202,94,0
1601701924,34,0
1601704589,10,27
1601704802,87,0
1601706500,17,17
1601708457,20,14
1601710340,111,17
1601712003,105,0
1601714204,17,12
1601715602,82,0
1601716097,28,25
1601718039,16,17
1601719970,9,49
1601722802,162,0
1601723793,13,10
1601725726,16,16
1601725927,500,999
1601727656,14,0
1601728327,337,742
1601729542,20,13
1601730002,195,0
1601731487,16,29
1601733378,12,20
1601735298,11,0
1601737247,4,12
1601739146,161,8
1601741057,6,28
1601743002,26,10
1601744911,193,31
1601746822,12,6
1601748773,10,49
1601751646,17,0
1601753544,225,0
1601755489,25,14
1601757447,36,7
1601761237,94,28
1601763164,16,14
1601765065,175,22
1601766971,51,49
1601768931,18,15
1601770850,112,14
1601772745,21,21
1601774102,163,2856
1601774736,8,17
1601776611,15,19
1601778518,21,19
1601778967,30,0
1601780442,14,29
1601781302,174,0
1601782809,29,65
1601784269,24,17
1601786223,31,24
1601788112,14,28
1601788501,157,0
1601790030,19,0
1601790484,32,69
1601791973,17,14
1601793877,20,22
1601795808,21,22
1601797730,115,14
1601799620,18,0
1601801555,154,14
1601803511,19,27
1601806365,12,13
1601807402,184,0
1601808261,15,11
1601810183,18,0
1601811002,97,0
1601814996,18,44
1601816904,19,22
1601817157,500,498
1601818202,150,0
1601818871,18,12
1601820040,399,389
1601820771,24,10
1601822658,14,10
1601824590,14,6
1601825402,164,0
1601829419,25,52
1601833244,203,22
1601835179,6,9
1601837055,18,0
1601838982,11,16
1601840924,80,26
1601843819,24,21
1601844302,186,0
1601845707,19,38
1601847654,22,18
1601847902,93,0
1601849572,21,11
1601851465,23,0
1601851502,72,0
1601853378,17,35
1601855342,54,84
1601857239,20,0
1601859141,158,2335
1601861096,17,18
1601862997,16,7
1601863454,39,37
1601864906,17,15
1601865902,238,0
1601866866,20,31
1601867289,36,0
1601868755,33,0
1601870919,24,24
1601872833,32,24
1601873102,223,0
1601874967,42,0
1601875695,12,23
1601877678,21,19
1601880525,21,30
1601882441,143,20
1601884352,22,16
1601884801,262,0
1601886288,9,15
1601888218,21,10
1601888402,132,0
1601890111,14,22
1601892053,16,0
1601894947,116,27
1601895603,112,0
1601896833,8,19
1601898741,11,0
1601899202,156,0
1601900685,18,0
1601902802,124,0
1601903555,21,32
1601905459,13,20
1601906402,151,0
1601907406,15,22
1601908328,500,498
1601909325,18,16
1601910002,168,0
1601911217,392,425
1601913137,14,0
1601913602,109,0
1601915108,20,0
1601916996,13,21
1601918900,9,0
1601920876,19,13
1601922752,256,6
1601924904,142,20
1601927785,25,15
1601929716,17,0
1601931648,11,26
1601935476,229,38
1601937410,33,20
1601938802,179,0
1601940343,56,35
1601942211,19,12
1601944106,18,15
1601946002,199,2014
1601947957,42,24
1601949868,20,18
1601951812,37,13
1601952247,39,69
1601953712,151,20
1601956090,32,72
1601957701,245,0
1601959464,17,76
1601959925,35,34
1601961376,25,0
1601963319,21,11
1601965244,207,14
1601967136,18,20
1601969123,13,22
1601971053,18,19
1601972102,246,0
1601973149,13,9
1601975097,20,23
1601977003,32,15
1601978907,16,11
1601979302,274,0
1601980833,32,0
1601982767,14,7
1601982902,120,0
1601986502,144,0
1601987547,25,28
1601989458,13,0
1601991425,26,19
1601993302,16,11
1601995239,270,18
1601997170,15,20
1601997302,287,0
1601999057,13,11
1601999767,500,500
1602000979,21,12
1602002413,450,381
1602002922,16,20
1602004831,117,11
1602006760,14,9
1602008685,10,14
1602009002,193,0
1602010588,10,17
1602012548,20,13
1602012602,76,0
1602014451,8,21
1602016202,101,0
1602019250,19,22
1602019802,117,0
1602021164,8,0
1602023402,86,0
1602024985,13,39
1602026907,10,14
1602028844,53,94
1602030744,23,16
1602032947,148,2673
1602034831,40,41
1602036746,66,18
1602037801,159,0
1602040586,51,65
1602044440,22,0
1602045002,166,0
1602046375,12,19
1602048252,31,79
1602050202,10,20
1602052087,13,19
1602052201,243,0
1602054018,19,17
1602057857,15,30
1602059776,143,11
1602061715,8,20
1602063632,26,31
1602065538,234,16
1602069408,6,46
1602071327,266,0
1602073236,9,0
1602074702,111,1
1602075141,18,22
1602077090,13,11
1602078301,154,0
1602079009,12,26
1602080916,10,16
1602081902,161,0
1602082873,6,22
1602084757,36,13
1602085502,90,0
1602086692,13,10
1602089101,90,0
1602089586,5,33
1602091480,15,13
1602091711,500,498
1602093381,18,15
1602093874,372,446
1602096270,16,6
1602096302,205,0
1602099169,22,24
1602101094,15,10
1602102995,30,0
1602103502,218,0
1602106108,18,18
1602108037,21,7
1602109990,31,0
1602110702,168,0
1602111864,20,11
1602113798,54,10
1602115743,15,17
1602117667,26,24
1602118802,183,2938
1602119556,19,18
1602121516,15,31
1602122401,96,0
1602123406,11,24
1602125330,62,75
1602126002,84,0
1602127245,10,9
1602129147,45,77
1602129603,99,0
1602131100,19,28
1602133015,17,10
1602133202,90,0
1602134907,8,11
1602136864,12,11
1602139723,121,10
1602140403,134,0
1602141637,12,15
1602143559,13,0
1602144001,119,0
1602145486,8,20
1602147431,24,16
1602149542,36,6
1602151461,13,21
1602153420,205,15
1602155301,120,0
1602157215,22,4
1602159175,19,15
1602161079,15,8
1602162002,212,0
1602162982,11,13
1602164924,12,13
1602166873,11,10
1602168739,12,10
1602169202,221,0
1602170687,12,4
1602172602,12,33
1602174502,20,11
1602176456,17,8
1602178366,116,10
1602180288,19,14
1602180902,587,0
1602182196,28,0
1602182885,500,500
1602184107,15,14
1602184805,323,309
1602186055,19,20
1602188101,192,0
1602189881,16,39
1602191809,11,0
1602193703,9,11
1602195680,178,11
1602198491,34,32
1602201415,13,58
1602202502,213,2581
1602203286,11,14
1602205238,20,31
1602207171,34,16
1602209077,16,17
1602210006,121,0
1602210982,149,10
1602212942,16,25
1602213851,37,0
1602216764,25,16
1602216901,159,0
1602218711,24,17
1602220574,14,10
1602221525,16,27
1602222755,13,9
1602224659,91,17
1602228510,236,28
1602230426,17,16
1602232364,29,7
1602234269,17,25
1602236199,100,32
1602238167,20,13
1602239402,223,0
1602240036,27,24
1602241970,17,10
1602243002,119,0
1602243890,12,18
1602245798,21,14
1602246601,175,0
1602247716,17,11
1602249661,14,12
1602251538,17,13
1602253497,14,13
1602253802,274,0
1602255435,13,11
1602258355,15,11
1602260201,8,10
1602261002,276,0
1602262121,14,19
1602264046,14,17
1602265949,13,23
1602267872,14,19
1602268201,254,0
1602270765,18,36
1602272694,19,15
1602274330,499,499
1602274591,7,0
1602275401,188,0
1602276728,364,351
1602277514,13,17
1602279408,31,12
1602283236,129,20
1602285149,12,0
1602287106,180,69
1602288980,22,13
1602290902,16,14
1602292865,19,23
1602294746,84,2893
1602296668,23,24
1602297902,199,0
1602298617,51,112
1602300509,20,18
1602301502,77,0
1602302417,31,75
1602303379,35,24
1602305303,150,25
1602306246,13,0
1602307268,18,16
1602308703,108,0
1602309156,23,18
1602311116,17,16
1602312302,100,0
1602313019,12,0
1602314920,16,16
1602316857,21,24
1602318769,22,25
1602319502,176,0
1602320668,21,0
1602322580,31,19
1602324553,20,11
1602326454,29,52
1602326702,245,0
1602328353,9,0
1602330292,19,25
1602332176,17,0
1602334104,19,15
1602336076,237,20
1602337943,16,13
1602341834,120,11
1602343705,18,14
1602345640,217,12
1602347566,32,8
1602349515,7,14
1602351415,34,9
1602353326,96,11
1602355236,40,14
1602355502,202,0
1602357171,20,15
1602359067,7,0
1602361947,24,21
1602363602,176,0
1602364835,23,13
1602365081,500,498
1602366749,20,27
1602367202,54,1
1602367958,381,375
1602368703,8,0
1602370601,16,29
1602370802,68,0
1602371529,39,0
1602374402,67,2661
1602375415,12,51
1602377323,26,17
1602378002,89,0
1602379223,21,0
1602381144,19,21
1602383096,51,31
1602385030,19,14
1602385202,182,0
1602386907,60,0
1602388849,17,22
1602390744,24,25
1602392900,140,23
1602394565,86,22
1602394819,24,6
1602396765,10,20
1602398657,15,15
1602399602,221,0
1602400589,19,14
1602402535,17,14
1602404428,17,26
1602406347,16,23
1602408284,174,19
1602410244,15,29
1602412106,144,19
