DateTime,AddedIPs,RemovedIPs
1601937604,11,8
1601937936,47,71
1601939551,216,0
1601940846,142,161
1601941447,11,5
1601943607,13,12
1601943776,92,149
1601944445,51,101
1601945524,13,14
1601946246,68,85
1601947470,14,10
1601948044,56,81
1601949363,17,12
1601951527,8,14
1601952339,127,81
1601953012,65,223
1601953451,7,8
1601954705,110,55
1601955391,11,11
1601955940,75,80
1601957284,4,7
1601958640,199,100
1601958845,28,79
1601959210,10,8
1601961151,14,9
1601962444,127,267
1601963045,7,10
1601963960,68,103
1601964964,18,8
1601965803,88,8
1601966907,10,10
1601967640,68,100
1601968808,55,129
1601969663,50,83
1601970724,13,7
1601971441,69,89
1601972669,15,11
1601974564,48,16
1601974841,54,144
1601976487,81,83
1601976846,21,108
1601978446,11,504
1601979340,44,144
1601980329,77,17
1601981405,56,105
1601982245,192,0
1601984188,14,9
1601984742,336,207
1601986083,15,4
1601988006,144,274
1601988999,55,62
1601989952,15,8
1601991248,71,209
1601991846,4,12
1601993762,15,14
1601994353,0,765
1601994602,153,140
1601994845,19,94
1601995705,12,8
1601996440,60,46
1601997602,12,5
1601997907,61,113
1601998203,764,0
1601998445,27,91
1601999524,13,8
1602000053,75,104
1602000926,0,255
1602001469,13,5
1602001503,330,0
1602002044,33,94
1602003363,7,9
1602003654,86,136
1602005282,15,3
1602005646,239,95
1602007236,12,8
1602008129,873,33
1602008704,115,101
1602009125,13,10
1602009245,29,80
1602011045,13,7
1602011729,56,366
1602012304,52,0
1602012984,15,10
1602013531,24,68
1602014886,361,108
1602017049,108,104
1602018968,17,8
1602020081,110,107
1602020885,80,103
1602021636,74,29
1602022801,8,8
1602023106,87,308
1602024747,15,10
1602025236,72,66
1602026647,175,0
1602028565,148,96
1602029740,120,211
1602030506,13,12
1602030845,105,135
1602032411,18,12
1602034350,12,9
1602034445,168,259
1602036255,4,15
1602037068,170,122
1602038169,36,151
1602040108,5,7
1602042009,166,308
1602043962,10,7
1602044472,105,126
1602045247,34,127
1602045845,11,6
1602046839,62,51
1602047764,15,5
1602048603,69,124
1602048844,18,147
1602049685,7,5
1602051627,8,14
1602051958,113,159
1602052445,57,135
1602053525,8,10
1602053851,82,39
1602055446,14,7
1602055802,102,130
1602056045,24,156
1602057388,8,8
1602057922,104,182
1602059283,8,10
1602059647,122,167
1602061216,14,7
1602062823,77,145
1602063149,14,10
1602063244,64,118
1602065046,13,467
1602065740,58,38
1602066304,74,94
1602066963,14,14
1602067538,21,138
1602068918,364,32
1602069379,54,90
1602070445,36,137
1602070804,18,7
1602072753,15,10
1602073802,109,109
1602074649,53,135
1602075383,58,161
1602076563,9,11
1602077644,83,514
1602078507,5,21
1602078956,50,34
1602079225,249,0
1602080402,11,7
