DateTime,AddedIPs,RemovedIPs
1601956924,1,0
1601958124,17,0
1601958723,2,0
1601960524,4,0
1601961723,4,1
1601962924,3,0
1601964123,8,0
1601965324,2,0
1601965924,2,0
1601966524,2,0
1601967123,2,0
1601967723,3,1
1601968924,1,0
1601970123,9,0
1601971323,3,0
1601972524,7,1
1601973724,5,0
1601974923,1,0
1601975523,6,0
1601976124,4,0
1601976781,3,0
1601977324,2,1
1601977924,8,3
1601978524,3,0
1601979723,1,0
1601980323,2,0
1601980923,3,0
1601982123,2,4
1601983323,6,0
1601983981,1,1
1601985123,2,0
1601985724,1,0
1601986324,2,0
1601986923,3,1
1601988123,4,0
1601989323,3,1
1601989923,5,0
1601990524,3,0
1601991723,0,2
1601994123,1,1
1601995323,1,2
1601996523,3,0
1601997123,1,0
1601997723,3,1
1601998382,2,0
1601998923,3,1
1601999523,2,0
1602000123,2,0
1602001323,1,1
1602003723,2,0
1602004924,1,1
1602006124,4,0
1602007323,1,0
1602007924,1,3
1602008523,1,1
1602009723,7,6
1602010323,7,0
1602010923,0,1
1602011523,1,0
1602012123,1,0
1602013323,1,1
1602013923,11,0
1602014523,2,1
1602015724,3,6
1602016381,5,0
1602016923,0,1
1602018123,1,1
1602018723,2,0
1602019323,5,1
1602021724,5,3
1602022323,12,0
1602022923,6,2
1602024123,1,3
1602025323,3,0
1602026524,3,2
1602027181,3,0
1602028924,3,1
1602030123,2,0
1602031324,5,0
1602032523,1,1
1602033124,6,0
1602033723,2,0
1602034381,3,0
1602037324,1,6
1602038523,8,0
1602039723,3,1
1602040924,7,6
1602042123,1,0
1602043323,1,2
1602043923,2,2
1602044523,5,1
1602045723,2,2
1602046924,11,0
1602048124,7,2
1602048723,4,2
1602049323,2,0
1602049923,1,0
1602050523,4,0
1602051723,3,3
1602052381,1,0
1602052924,2,3
1602054641,1,0
1602056523,2,2
1602058324,0,1
1602058923,2,2
1602060123,2,1
1602060723,1,0
1602061323,10,2
1602062524,1,2
1602063181,7,0
1602063724,0,1
1602064324,2,0
1602064923,3,0
1602066124,4,2
1602066724,1,1
1602067323,6,1
1602068523,3,0
1602069123,0,1
1602069723,2,0
1602070324,3,0
1602070923,2,0
1602072123,2,1
1602073324,3,0
1602074523,1,3
1602075723,6,0
1602076924,0,2
1602078123,4,0
1602079323,1,2
1602079923,0,2
1602080523,2,0
1602081181,1,0
1602081724,0,1
1602082323,1,3
1602083523,1,4
1602084723,14,1
1602085923,7,5
1602086523,2,0
1602087723,4,5
1602088923,1,0
1602090124,6,1
1602090724,6,4
1602091323,4,0
1602092523,1,3
1602093724,2,0
1602094923,4,0
1602095582,2,1
1602096123,1,0
1602097323,4,1
1602098524,11,4
1602099723,1,2
1602100323,2,1
1602100923,4,0
1602101524,0,4
1602102124,2,0
1602102724,4,0
1602102781,1,0
1602103323,5,0
1602104523,3,1
1602105123,2,4
1602105724,4,0
1602106381,1,3
1602106923,2,0
1602108123,3,3
1602109323,5,3
1602110523,3,1
1602111124,3,0
1602111723,11,0
1602112323,4,0
1602112924,2,0
1602113582,2,1
1602114123,4,0
1602115323,2,2
1602116524,19,1
1602117182,3,0
1602117724,3,1
1602118323,7,1
1602118923,13,0
1602120124,10,1
1602120781,3,0
1602121323,4,3
1602121924,1,0
1602122524,7,5
1602123124,5,1
1602123724,12,2
1602124381,1,0
1602124924,4,0
1602125524,3,2
1602126123,11,0
1602126723,0,1
1602127324,6,9
1602127981,11,1
1602128524,4,0
1602129723,1,7
1602130923,3,2
1602132123,5,3
1602133323,2,0
1602134524,10,2
1602135182,6,1
1602135723,2,9
1602138123,6,2
1602139323,3,3
1602140523,3,2
1602142924,2,3
1602144123,4,1
1602145323,2,1
1602146523,0,9
1602147723,3,0
1602148923,2,3
1602150123,3,2
1602150723,1,4
1602151923,2,1
1602152523,4,1
1602153123,0,2
1602153723,2,0
1602154323,2,0
1602154923,12,0
1602156123,11,1
1602156724,3,0
1602157324,2,0
1602157923,5,0
1602158524,1,0
1602160382,1,0
1602160923,0,1
1602162123,6,0
1602163323,7,0
1602164523,2,0
1602165724,1,0
1602166323,1,1
1602166923,1,0
1602168123,2,1
1602168724,2,0
1602169323,2,0
1602169923,4,0
1602170523,2,1
1602171723,3,0
1602172923,2,0
1602173523,4,0
1602174123,1,0
1602174781,2,0
1602175923,3,0
1602176524,4,0
1602177123,2,0
1602177723,1,0
1602178324,9,1
1602178923,6,0
1602179523,5,0
1602181323,1,0
1602181981,17,0
1602182523,11,0
1602183723,7,0
1602184924,9,2
1602186123,5,1
1602187324,7,1
1602187923,2,0
1602188523,8,0
1602189181,9,0
1602189723,3,0
1602190924,10,4
1602191523,1,0
1602192123,3,0
1602192723,2,0
1602193323,3,0
1602193923,1,0
1602194524,4,0
1602195123,1,1
1602195724,3,0
1602196381,1,0
1602196924,3,1
1602198124,10,0
1602198723,3,0
1602199323,12,0
1602199923,2,0
1602200523,2,1
1602201123,1,0
1602201723,6,2
1602202923,3,1
1602203581,12,0
1602204123,3,0
1602204723,2,0
1602205323,3,0
1602206524,1,0
1602207182,1,0
1602207724,6,0
1602208923,7,0
1602209524,0,1
1602210123,4,0
1602211323,7,0
1602212523,19,1
1602213124,2,0
1602214382,1,1
1602214923,3,0
1602216123,29,0
1602217324,16,1
1602217981,2,0
1602218523,1,0
1602219123,21,0
1602219724,1,1
1602220323,9,0
1602220924,8,0
1602222123,4,0
1602223323,8,0
1602224523,11,1
1602225724,33,0
1602226923,2,0
1602228123,53,0
1602229323,47,0
1602230524,6,1
1602231723,3,1
1602232924,6,2
1602233524,1,0
1602234123,5,0
1602234723,10,0
1602235324,8,0
1602236523,5,0
1602237123,1,0
1602237724,2,0
1602238923,1,1
1602240124,3,0
1602240723,1,0
1602242524,7,0
1602243723,3,0
1602244923,3,3
1602246123,3,2
1602247323,1,1
1602247923,4,0
1602248524,1,0
1602249124,47,0
1602249723,1,0
1602250381,3,0
1602252123,7,0
1602252723,12,0
1602254523,1,0
1602255123,5,1
1602255723,1,0
1602256923,19,0
1602258123,6,0
1602258723,3,0
1602259323,2,0
1602259923,1,0
1602260523,25,0
1602261723,7,0
1602262924,1,0
1602264123,2,0
1602265323,4,1
1602266523,7,0
1602267723,10,0
1602268323,4,0
1602268924,1,0
1602270123,5,0
1602270723,6,0
1602271323,4,0
1602272523,2,0
1602273723,6,0
1602274924,10,0
1602276123,5,0
1602276724,1,0
1602277923,1,0
1602278523,10,0
1602279181,5,0
1602279723,8,0
1602280323,2,0
1602280923,4,0
1602282123,2,0
1602283323,5,1
1602284523,1,0
1602285723,3,0
1602286923,5,2
1602288124,5,1
1602289324,2,1
1602289981,2,0
1602290523,3,0
1602291123,1,0
1602291724,14,0
1602292923,3,0
1602294123,4,0
1602295323,2,3
1602296523,13,1
1602297723,4,2
1602298324,2,0
1602298923,22,0
1602300123,2,0
1602300781,3,0
1602302523,5,1
1602303723,1,0
1602304381,4,1
1602304923,4,1
1602306723,1,1
1602307981,4,1
1602309723,1,0
1602310923,2,2
1602311523,2,0
1602312724,9,0
1602313324,5,2
1602313923,1,1
1602314524,3,0
1602315182,3,0
1602315723,1,0
1602316924,1,1
1602318123,1,0
1602319324,1,1
1602320523,11,1
1602321123,4,0
1602321723,2,0
1602322381,1,0
1602322923,6,1
1602323524,1,0
1602324123,2,0
1602324723,2,0
1602325323,3,1
1602325923,1,1
1602326523,1,0
1602327723,2,0
1602328323,3,0
1602328923,1,0
1602330123,1,1
1602331323,2,0
1602331924,1,0
1602333181,3,0
1602333723,1,0
1602334923,1,0
1602335524,2,0
1602336123,1,0
1602336781,1,0
1602337323,3,1
1602337923,7,1
1602338523,1,0
1602339723,4,1
1602340323,6,0
1602340923,2,0
1602342124,1,2
1602343323,2,1
1602345723,3,0
1602347581,4,0
1602348123,11,1
1602349323,3,0
1602349923,5,0
1602350523,6,0
1602351723,5,0
1602352923,1,0
1602354123,2,1
1602355323,1,0
1602355923,1,0
1602357124,0,1
1602357723,1,1
1602358923,3,0
1602359523,1,0
1602360123,3,0
1602361323,2,0
1602362523,0,1
1602363723,1,0
1602364923,2,0
1602365582,0,1
1602366123,2,0
1602366723,8,1
1602367323,2,0
1602368524,4,0
