DateTime,AddedIPs,RemovedIPs
1601957523,1,3
1601958124,3,0
1601958723,5,7
1601959324,1,1
1601960524,4,19
1601961723,4,13
1601962924,4,0
1601964123,10,6
1601965324,5,6
1601965924,3,3
1601966524,3,6
1601967123,3,0
1601967723,7,5
1601968924,3,0
1601970123,7,5
1601971323,5,3
1601972524,10,0
1601973724,8,15
1601974324,1,0
1601974923,2,0
1601975523,3,12
1601976124,4,2
1601976724,9,9
1601977324,3,9
1601977924,8,0
1601978524,4,3
1601979123,0,1
1601979723,0,3
1601980323,2,0
1601980923,3,0
1601982123,7,6
1601983323,7,15
1601983924,7,6
1601984523,3,2
1601985123,5,2
1601985724,4,0
1601986324,1,13
1601986923,7,4
1601988123,9,0
1601989323,5,9
1601989923,3,7
1601990524,3,0
1601991723,0,11
1601992923,1,0
1601994123,1,6
1601995323,1,20
1601996523,4,0
1601997123,4,5
1601997723,6,0
1601998323,2,6
1601998923,7,5
1602000123,3,0
1602001323,3,9
1602002523,0,22
1602003723,6,5
1602004924,6,0
1602006124,6,9
1602006723,1,0
1602007924,4,1
1602008523,1,0
1602009723,5,13
1602010323,3,2
1602011523,2,16
1602012123,3,13
1602013323,7,19
1602013923,20,0
1602014523,2,17
1602015724,2,0
1602016323,5,1
1602016923,2,8
1602018123,8,5
1602019323,4,5
1602020524,3,0
1602021724,4,2
1602022323,26,6
1602022923,11,11
1602024123,3,19
1602025323,3,9
1602026524,4,6
1602027124,6,9
1602027724,1,0
1602028924,6,0
1602030123,5,6
1602031324,8,30
1602032523,4,0
1602033124,10,5
1602033723,3,10
1602034923,2,3
1602036123,3,6
1602037324,3,3
1602038523,12,36
1602039723,4,0
1602040924,14,1
1602042123,4,4
1602042723,3,5
1602043923,6,1
1602044523,7,2
1602045723,6,2
1602046924,2,31
1602048124,10,3
1602048723,5,4
1602049323,5,0
1602050523,3,19
1602051723,5,11
1602052324,1,0
1602052924,2,0
1602054123,4,7
1602054641,1,0
1602055324,3,2
1602056523,2,12
1602057723,1,0
1602058923,5,12
1602060123,3,23
1602060723,1,0
1602061323,1,13
1602062524,3,23
1602063124,5,0
1602063724,0,11
1602064324,4,0
1602064923,2,10
1602066124,10,32
1602067323,7,7
1602068523,7,4
1602069723,3,0
1602070324,5,18
1602070923,3,0
1602072123,3,7
1602072723,1,17
1602073324,5,0
1602074523,5,12
1602075723,9,4
1602076324,8,10
1602077524,8,5
1602078123,3,0
1602079323,6,5
1602079923,1,8
1602080523,9,0
1602081123,2,15
1602082323,2,14
1602083523,6,2
1602084123,4,16
1602084723,7,2
1602085923,13,1
1602086523,4,0
1602087723,8,18
1602088923,5,8
1602089523,3,5
1602090124,7,0
1602090724,11,1
1602091323,7,0
1602092523,2,5
1602093724,6,2
1602094324,1,4
1602094923,2,1
1602095524,4,2
1602096123,1,0
1602096723,5,6
1602098524,14,13
1602099723,3,7
1602100323,4,0
1602100923,6,3
1602101524,2,29
1602102124,2,2
1602102724,9,0
1602103323,7,0
1602104523,5,6
1602105123,2,23
1602105724,4,0
1602106324,2,1
1602106923,4,0
1602108123,7,4
1602109323,10,52
1602109924,3,0
1602111124,6,3
1602111723,15,19
1602112924,4,0
1602113524,4,0
1602114123,6,8
1602115323,1,7
1602116524,2,6
1602117124,2,9
1602117724,3,19
1602118323,11,0
1602118923,9,4
1602120124,12,4
1602120724,3,19
1602121323,3,13
1602121924,1,0
1602122524,9,0
1602123124,3,2
1602123724,15,7
1602124324,1,0
1602124924,5,1
1602125524,7,3
1602126123,17,0
1602127324,6,2
1602127924,21,19
1602128524,8,0
1602129723,4,6
1602130923,7,7
1602132123,6,0
1602133323,4,4
1602134524,12,12
1602135123,9,1
1602135723,5,6
1602136923,1,0
1602138123,16,4
1602139323,5,22
1602140523,5,20
1602141724,1,23
1602142323,2,23
1602142924,4,3
1602144123,4,0
1602145323,2,25
1602146523,3,0
1602147723,4,1
1602148923,3,15
1602150123,2,2
1602150723,1,2
1602151323,1,13
1602151923,2,0
1602152523,4,9
1602153123,2,0
1602153723,1,3
1602154923,3,0
1602156123,8,7
1602156724,4,0
1602157324,3,0
1602157923,5,4
1602158524,3,0
1602159724,0,3
1602160323,0,9
1602160923,0,10
1602162123,3,0
1602163323,12,11
1602164523,3,4
1602165724,1,2
1602166323,1,0
1602167523,4,16
1602168123,2,3
1602168724,2,0
1602169323,2,4
1602170523,3,1
1602171723,10,23
1602172923,4,0
1602173523,5,1
1602174123,2,0
1602174724,7,5
1602175324,2,0
1602175923,7,0
1602176524,5,8
1602177723,2,11
1602178324,3,6
1602178923,9,0
1602179523,4,15
1602180123,5,4
1602181323,7,0
1602181924,17,0
1602182523,13,31
1602183723,9,0
1602184924,10,3
1602186123,5,0
1602187324,8,8
1602188523,11,9
1602189124,11,1
1602189723,10,1
1602190924,8,0
1602191523,3,1
1602192123,3,6
1602193323,4,0
1602194524,4,23
1602195123,2,0
1602195724,6,10
1602196324,2,3
1602196924,6,7
1602198124,14,4
1602198723,7,0
1602199323,16,16
1602199923,4,0
1602200523,5,14
1602201723,7,0
1602202923,6,3
1602203524,12,0
1602204123,4,0
1602205323,6,6
1602205924,3,18
1602207123,12,0
1602207724,6,2
1602208923,3,0
1602210123,4,6
1602211323,5,0
1602212523,2,7
1602213124,2,0
1602213723,0,13
1602214923,7,0
1602216123,4,4
1602216723,7,16
1602217924,6,1
1602218523,4,2
1602219724,2,0
1602220924,9,6
1602222123,7,11
1602223323,9,0
1602224523,18,1
1602225724,11,16
1602226923,3,2
1602228123,2,1
1602229323,0,16
1602230524,5,30
1602231124,1,2
1602231723,3,34
1602232924,4,1
1602234123,8,4
1602234723,19,0
1602235324,3,0
1602235923,1,2
1602236523,5,1
1602237123,1,0
1602237724,5,2
1602238923,3,84
1602239523,1,0
1602240124,4,1
1602241923,5,1
1602242524,5,3
1602243124,2,3
1602243723,4,0
1602244923,4,4
1602246123,7,7
1602247323,2,15
1602247923,7,4
1602248524,4,0
1602249124,57,2
1602249723,5,26
1602250324,5,21
1602250923,4,0
1602252123,4,1
1602252723,5,3
1602253323,2,5
1602255123,6,4
1602255723,2,6
1602256923,9,0
1602258123,9,5
1602258723,6,0
1602259323,7,0
1602260523,39,21
1602261723,20,4
1602262924,2,27
1602264123,3,15
