DateTime,AddedIPs,RemovedIPs
1601913123,6,2
1601914324,5,5
1601916124,10,5
1601917323,4,1
1601917923,10,1
1601919124,1,2
1601920324,5,2
1601920924,0,5
1601921523,6,1
1601922124,1,0
1601923323,3,0
1601924523,1,17
1601925724,7,36
1601926323,1,0
1601926924,7,0
1601927523,2,15
1601928123,4,0
1601929924,1,0
1601931124,7,15
1601931723,12,1
1601932924,11,4
1601934124,1,3
1601935323,19,10
1601936523,30,8
1601937124,8,1
1601938323,19,11
1601938923,9,21
1601940124,5,23
1601941324,10,0
1601942524,3,38
1601943723,18,14
1601944324,9,8
1601945523,24,20
1601946123,16,0
1601947324,11,29
1601948523,8,23
1601949724,16,3
1601950324,4,4
1601952123,13,14
1601952723,3,2
1601953923,7,2
1601955124,12,16
1601955724,4,13
1601956924,11,0
1601958124,44,22
1601958723,7,18
1601959923,9,24
1601960524,12,0
1601961723,2,10
1601962924,8,32
1601963524,4,0
1601964724,6,16
1601966524,1,23
1601967123,2,0
1601968924,0,5
1601969523,10,1
1601970724,4,1
1601971323,0,29
1601972524,3,0
1601973724,1,25
1601974923,19,28
1601975523,3,0
1601976124,0,4
1601977324,19,4
1601977924,2,0
1601979123,5,10
1601979723,1,1
1601980923,4,3
1601982123,4,6
1601983323,6,0
1601983924,2,2
1601984523,1,0
1601986324,6,2
1601986923,0,1
1601988123,2,2
1601989323,1,3
1601989923,6,0
1601990524,2,5
1601991723,0,1
1601992923,1,0
1601994123,4,6
1601994723,2,2
1601995923,1,10
1601997123,3,10
1601997723,0,7
1601998323,1,0
1601998923,2,2
1601999523,2,0
1602000723,0,9
1602001323,4,10
1602001924,1,0
1602003123,2,3
1602003723,0,8
1602004323,4,1
1602004924,2,7
1602007323,9,3
1602007924,1,2
1602008523,1,3
1602009723,10,3
1602010323,8,0
1602010923,3,0
1602012123,2,9
1602012723,2,12
1602013323,6,0
1602014523,6,0
1602015724,8,3
1602016323,3,0
1602016923,4,9
1602017523,0,18
1602018723,6,0
1602019323,14,3
1602020524,3,12
1602021724,13,0
1602022323,15,19
1602022923,16,0
1602024123,4,32
1602025323,3,20
1602026524,9,0
1602027124,3,17
1602027724,5,8
1602028924,13,14
1602030123,9,9
1602031324,11,29
1602032523,5,37
1602033723,7,13
1602034923,7,0
1602036123,2,30
1602037324,0,28
1602038523,7,0
1602039723,5,9
1602040924,8,17
1602042123,1,12
1602043323,3,15
1602043923,0,25
1602044523,0,34
1602045723,3,32
1602046323,48,26
1602047523,3,0
1602048723,2,14
1602049923,6,3
1602050523,2,7
1602051723,0,6
1602052324,1,0
1602052924,1,0
1602054123,0,4
1602055324,0,8
1602056523,4,4
1602057123,2,2
1602058324,3,1
1602058923,3,1
1602059523,1,19
1602060723,24,0
1602061323,1,0
1602061923,0,7
1602063124,15,18
1602063724,4,0
1602064923,12,6
1602066124,2,12
1602066724,2,8
1602067323,0,6
1602068523,1,3
1602069123,5,2
1602070324,5,0
1602070923,0,1
1602072123,0,7
1602074523,1,8
1602075723,3,3
1602076924,0,1
1602078723,1,1
1602079323,1,0
1602079923,1,15
1602081123,6,5
1602081724,2,0
1602082323,0,1
1602084723,33,12
1602085923,2,0
1602087723,0,7
1602088923,1,2
1602090124,6,4
1602090724,7,2
1602091323,1,0
1602092523,8,8
1602093724,5,0
1602094923,7,6
1602095524,9,0
1602096123,0,17
1602097323,5,2
1602098524,10,6
1602099123,0,1
1602100323,6,11
1602100923,8,5
1602102724,8,24
1602103323,4,7
1602103923,0,17
1602105123,4,0
1602106324,8,13
1602106923,2,22
1602108123,7,0
1602109323,3,37
1602110523,6,9
