DateTime,AddedIPs,RemovedIPs
1600605181,14,13
1600608782,20,20
1600612381,16,14
1600615981,16,17
1600619581,15,16
1600623181,21,23
1600626781,18,18
1600630381,20,21
1600633981,19,21
1600637582,15,15
1600641181,17,15
1600644781,14,16
1600648381,19,20
1600651981,19,16
1600655581,20,20
1600659181,23,19
1600662782,15,16
1600666381,23,22
1600669981,15,17
1600673582,18,19
1600677182,16,17
1600680781,18,18
1600684381,20,21
1600687981,29,21
1600691582,14,19
1600695181,18,18
1600698781,15,15
1600702382,17,16
1600705981,15,17
1600709581,16,15
1600713182,23,24
1600716781,22,21
1600720381,17,22
1600723982,20,16
1600727582,16,16
1600731181,19,17
1600734781,20,21
1600738382,21,15
1600741981,13,21
1600745581,21,20
1600749181,18,17
1600752781,18,19
1600756381,19,18
1600759981,16,16
1600763581,14,17
1600767181,29,23
1600770781,21,26
1600774381,15,17
1600777982,19,19
1600781581,21,16
1600785181,18,24
1600788781,20,16
1600792381,23,22
1600795981,10,9
1600799582,18,17
1600803181,19,19
1600806781,24,25
1600810381,17,19
1600813981,20,17
1600817581,26,26
1600821181,21,20
1600824782,13,20
1600828381,14,13
1600831981,14,16
1600835582,22,17
1600839181,17,20
1600842781,18,19
1600846382,28,22
1600849981,18,16
1600853581,16,21
1600857182,20,15
1600860781,21,22
1600864381,28,27
1600867981,13,13
1600871581,18,23
1600875182,16,13
1600878781,19,21
1600882382,16,16
1600885981,20,20
1600889582,20,20
1600893181,21,23
1600896781,19,17
1600900381,26,24
1600903982,18,18
1600907581,17,18
1600911181,15,18
1600914781,26,22
1600918382,20,23
1600921981,15,16
1600925582,20,20
1600929182,20,20
1600932781,18,16
1600936381,18,20
1600939981,23,21
1600943582,20,22
1600947181,24,26
1600950781,23,21
1600954381,20,21
1600957981,16,16
1600961582,16,15
1600965181,18,18
1600968782,14,16
1600972381,12,13
1600975982,15,13
1600979581,21,18
1600983181,23,21
1600986781,25,27
1600990382,18,15
1600993982,21,23
1600997581,15,15
1601001181,17,17
1601004781,19,20
1601008381,25,26
1601011981,17,18
1601015581,16,15
1601019181,16,18
1601022782,21,20
1601026381,18,17
1601029982,14,16
1601033581,18,17
1601037181,15,15
1601040782,19,21
1601044382,18,14
1601047982,22,22
1601051581,16,17
1601055181,17,18
1601058781,14,16
1601062381,18,15
1601065981,18,15
1601069582,19,20
1601073181,16,16
1601076781,20,21
1601080381,17,13
1601083981,17,17
1601087582,25,28
1601091181,23,19
1601094782,17,20
1601098381,13,14
1601101981,15,15
1601105584,13,13
1601109182,25,25
1601112781,19,19
1601116382,16,18
1601119981,16,17
1601123581,17,19
1601127182,18,18
1601130781,15,15
1601134381,19,23
1601137981,16,16
1601141582,13,9
1601145181,12,15
1601148781,18,16
1601152381,23,19
1601155982,21,19
1601159581,25,25
1601163181,23,22
1601166781,26,25
1601170381,22,23
1601173982,12,15
1601177581,19,17
1601181182,17,14
1601184781,23,25
1601188381,20,20
1601191982,20,21
1601195582,19,22
1601199181,15,14
1601202782,15,16
1601206381,15,14
1601209981,17,14
1601213581,16,19
1601217182,19,20
1601220781,18,21
1601224381,17,17
1601227981,19,20
1601231581,19,18
1601235182,20,20
1601238781,17,17
1601242382,23,20
1601245981,20,19
1601249581,18,16
1601253181,20,23
1601256781,16,15
1601260381,22,17
1601263981,21,25
1601267582,21,21
1601271181,22,21
1601274781,12,15
1601278382,18,14
1601281981,17,16
1601285582,16,17
1601289182,20,19
1601292781,18,24
1601296381,20,18
1601299981,25,24
1601303581,17,23
1601307181,21,16
1601310781,18,18
1601314381,13,14
1601317982,23,23
1601321581,16,17
1601325181,20,17
1601328781,26,23
1601332381,16,18
1601335982,19,18
1601339582,17,17
1601343181,25,22
1601346782,22,22
1601350381,16,18
1601353981,14,15
1601357581,16,14
1601361181,16,16
1601364781,26,24
1601368382,20,23
1601371982,23,20
1601375581,20,24
1601379181,20,22
1601382781,17,18
1601386381,21,22
1601389981,21,16
1601393581,17,21
1601397182,21,20
1601400781,18,24
1601404381,19,13
1601407981,18,19
1601411581,18,17
1601415182,18,16
1601418781,18,18
1601422381,18,18
1601425981,19,16
1601429581,17,21
